oid,host_id,z
ZTF20aawvzwv,WISEA J152203.57-090731.7,
ZTF20aawxpru,CGCG 401-029,0.028396
ZTF20aawvyip,WISEA J154702.03-002237.5,0.078737
ZTF20aawwchn,SDSS J161411.29+281811.4,0.124
ZTF20aawslui,WISEA J091244.56+031632.4,
ZTF20aawwhfc,WISEA J172937.03+800150.7,
ZTF20aawrfkn,WISEA J093617.71+671936.7,0.039293
ZTF20aawknzg,SDSS J105241.15+381902.5,0.111
ZTF20aavwzld,WISEA J133249.00+594814.2,0.067795
ZTF20aawmlfq,UGC 10320,0.031795
ZTF20aawnwxo,WISEA J145209.41+222735.9,0.091275
ZTF20aawpagc,WISEA J192534.90+533545.7,
