oid,host_id,z
ZTF20acwqstz,WISEA J150717.09+050023.2,0.113473
ZTF20acwquhu,WISEA J145418.42+034541.3,0.123324
ZTF20acwqriu,WISEA J145029.77-032845.4,0.0426
ZTF20acabfnq,WISEA J135723.82+274358.2,0.062789
ZTF18aavabfl,WISEA J151658.18+350234.0,0.061524
ZTF20acwqlsq,2MASX J15241336+3106173,0.073995
ZTF20acwqlpq,WISEA J142009.01+585645.8,0.071951
ZTF20acwqitw,WISEA J100406.87-220410.1,
ZTF20acwqjcu,WISEA J095750.00-242947.9,
ZTF20acwqjaw,WISEA J100344.01-275001.8,
ZTF20acwqfwu,2MFGC 09160,0.043776
ZTF20acwpixx,WISEA J115218.30+075330.1,0.077451
ZTF20acwqqax,WISEA J115731.97+030011.3,0.085553
ZTF20acwqkhf,SDSS J132440.47+412745.5,0.098
ZTF20acwpibn,SDSS J123807.94+470407.2,0.105
ZTF20acwpibi,SBS 1127+581,0.039985
ZTF20acwnpia,WISEA J112734.93+782234.1,
ZTF20acwqlcx,SDSS J132228.43+623059.8,0.085
ZTF20acwphyx,SDSS J132400.08+621146.7,0.102
ZTF20acwqlir,WISEA J135346.36+682616.6,
ZTF20acwphxx,WISEA J142345.58+662039.1,
ZTF20acwphyo,2MASX J14195035+4416422,0.062876
ZTF20acwphph,WISEA J115142.77+101528.2,0.10395
ZTF20acwphqb,SDSS J120214.98+141841.3,0.095
ZTF20acwpfvq,WISEA J094405.60-181129.6,
ZTF20acwnqcy,WISEA J073543.65+111554.1,
ZTF20acwozwz,GALEXASC J110207.76+583928.7,
ZTF20acwobku,NGC 2981,0.034711
ZTF20acwnrty,SDSS J094424.00+225843.7,0.114
ZTF20acwnyfn,WISEA J084809.60+195039.3,0.084089
ZTF20acwmpsj,WISEA J081138.48-021948.2,0.051819
ZTF20acwoozn,WISEA J083337.67-081729.8,
ZTF20acvegti,SDSS J072527.38+331150.6,0.099
ZTF20acwnflf,SDSS J070415.87+311045.4,0.142
ZTF20acwnabc,WISEA J071303.95+151429.3,
ZTF20acwkwqn,WISEA J070244.97+263002.7,
ZTF20acwkvgj,WISEA J071330.00+233733.9,
ZTF20acwjhpo,SDSS J040010.74-111952.0,0.050
ZTF20acwjeeq,SDSS J032741.96+181501.5,0.040
ZTF20acwlphq,WISEA J042024.21-245513.7,
ZTF20acwikji,WISEA J014511.22-152529.9,
ZTF20acwhpmj,MRK 0356,0.030251
ZTF20acwgxhk,LSBC F831-08,0.021732
