oid,host_id,z
ZTF21aagtwnt,WISEA J172120.32-163613.0,
ZTF21aagtwij,WISEA J184333.68+533404.9,
ZTF21aagtvzl,WISEA J183158.24+392049.1,
ZTF21aagtwbo,UGC 11268,0.026332
ZTF21aagtuto,WISEA J185340.43+491424.5,
ZTF21aagtuco,WISEA J190226.88+680652.1,
ZTF21aagtcou,WISEA J155257.36+504523.1,
ZTF21aagtqtw,WISEA J164118.99+612938.8,
ZTF21aagtquu,WISEA J161746.46+650725.1,
ZTF18aawizoe,WISEA J171656.96+563435.0,
ZTF21aagtqqg,WISEA J182023.25+655457.1,
ZTF21aagtqpm,WISEA J184701.55+484833.5,
ZTF18aatrllk,2MFGC 14798,0.054368
ZTF21aagtqna,NGC 6560,0.02349
ZTF21aagtqpn,GALEXASC J182035.36+405620.7,
ZTF21aagtvva,WISEA J182001.46+355616.5,
ZTF21aagtqhl,WISEA J173217.88+310403.9,
ZTF21aaayrvf,WISEA J173703.18+262458.9,
ZTF20actbcvy,UGC 10909,0.025464
ZTF18aannern,CID 52,0.033296
ZTF21aagtoic,WISEA J163538.49+533937.6,
ZTF21aagcwut,WISEA J164055.56+533125.9,0.048984
ZTF21aagtooe,WISEA J175822.34+632012.0,
ZTF21aagtmsx,GALEXASC J132318.74+604311.1,
ZTF21aagtmos,WISEA J132507.45+601710.2,0.118627
ZTF18aatezdb,WISEA J150519.20+533956.4,0.134217
ZTF18aahsihn,WISEA J120913.59+302023.2,0.072971
ZTF21aagtexi,WISEA J123458.31+452657.1,
ZTF21aagteny,SDSS J121641.17+410440.4,
ZTF21aagtegw,SDSS J124501.75+483602.1,
ZTF21aagtepb,WISEA J130602.67+430058.2,
ZTF21aagtekf,2MASX J15083446+6051498,0.073914
ZTF21aagtmot,2MFGC 10773,
ZTF21aagtcwd,WISEA J163314.11+733429.9,
ZTF21aagtcsj,WISEA J170335.60+783953.7,0.051632
ZTF21aagtmmp,WISEA J144351.85+520914.4,
ZTF21aagtceu,UGC 09442,0.044665
ZTF21aagtcgb,WISEA J145718.07+432735.6,0.03754
ZTF21aagtcvb,WISEA J154738.84-003419.1,
ZTF21aagsypp,2MASX J14211351+2042536,0.018201
ZTF21aagswvs,SDSS J113832.59-013831.5,
ZTF21aagsljd,WISEA J124632.18+831858.8,
ZTF21aagbpvf,UGC 08737,0.005941
ZTF21aagtodg,WISEA J140136.87+655846.3,
ZTF21aagtmgw,WISEA J134756.01+701316.0,
ZTF21aagsjsj,WISEA J120715.48+325423.6,
ZTF21aagskhr,SDSS J124756.64+294312.5,
