oid,host_id,z
ZTF21aagtwbo,UGC 11268,0.026332
ZTF21aahfrmd,WISEA J183238.31+605515.1,
ZTF21aagttym,WISEA J191013.00+701823.5,
ZTF21aahfkak,WISEA J180921.71+271258.1,
ZTF21aagtqkc,WISEA J175749.51+272247.6,
ZTF21aagtqiq,WISEA J174656.36+352838.9,
ZTF21aahfizx,WISEA J150114.36+130119.2,0.123371
ZTF21aahfjrr,WISEA J163502.97+562838.0,
ZTF21aagtlxw,WISEA J115758.18+454024.2,0.146648
ZTF21aagtlwu,WISEA J113641.70+530826.4,
ZTF21aahdryk,SDSS J112441.63+345350.4,
ZTF21aagtill,NSC J112713+251945,
ZTF21aahdyrr,WISEA J113636.64+231134.9,
ZTF21aagsynt,WISEA J131718.45+325101.1,0.122196
ZTF21aagsysd,SDSS J131633.36+313247.1,0.024757
ZTF21aagswze,WHL J122658.8+183059,
ZTF21aahdrpt,SDSS J123119.23+640626.6,
ZTF21aahdrji,SDSS J120021.78+302002.5,
ZTF21aagsjfx,WISEA J124615.93+171020.4,0.08013
ZTF21aagsbot,WISEA J103229.38+160944.0,
ZTF21aagsceu,WISEA J110205.75+134645.2,0.046726
ZTF21aagsbvu,SDSS J110043.75+102854.2,
ZTF21aagscbh,WISEA J110534.92+091257.6,0.119828
ZTF21aahdrid,WISEA J120604.27+285419.3,
ZTF21aagsbeq,SDSS J115108.64+251942.6,
ZTF21aahdrvq,SDSS J112744.90+464559.8,
ZTF21aahdzwa,SDSS J103247.82+523935.9,
ZTF21aagrxuw,WISEA J100409.66+355646.4,0.167762
ZTF21aagpdzy,WISEA J095305.69+295431.1,0.075428
ZTF21aagopdv,SDSS J094019.30+030922.0,
ZTF21aagoihc,SDSS J090738.15+165422.1,
ZTF21aahclyf,SDSS J103326.05+372929.3,
ZTF21aagobok,WISEA J081028.05+190335.7,0.079786
ZTF21aahccrk,WISEA J084003.41+530724.9,0.097932
ZTF21aagnnuy,SDSS J075715.78+272511.8,
ZTF21aahbuvs,SDSS J071413.41+301929.8,
ZTF21aagmoih,SDSS J042155.37-042303.6,
ZTF21aagmhws,WISEA J045420.25-001436.5,
ZTF21aagzuno,WISEA J004440.21+495026.6,
ZTF21aagzrxe,WISEA J005736.18-015149.9,0.079472
ZTF21aagktan,WISEA J012601.87-005934.9,0.045432
