oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21aaqieep,SDSS J114423.51+111540.9,176.09797901349,11.261378914578199,0.27326998123947094,SDSSDR16,False,0.176,0.0361,photoz
ZTF21aaqhrzz,SDSS J153149.82+541224.0,232.957602280794,54.206690247437,0.8101085833362909,SDSSDR16,False,0.178,0.0447,photoz
ZTF21aaqhhfu,NGC 4165,183.04915,13.24652,23.950510662546893,NED,True,0.006201,NULL,
ZTF21aaqgrrf,SDSS J101502.66+034747.4,153.761103798833,3.7965271438155197,0.20351113811213728,SDSSDR16,False,0.149,0.0752,photoz
ZTF21aaqgnfy,SDSS J082828.27+313328.8,127.11782953672399,31.558006575008896,7.323832682219556,SDSSDR16,False,0.093,0.0316,photoz
ZTF21aaqgmjt,NGC 3310,159.69108,53.50338,22.146716132176213,NED,True,0.003312,NULL,
ZTF21aaqgcof,SDSS J080214.80+225150.5,120.561698263794,22.864029282819,5.464378016309193,SDSSDR16,False,0.130,0.0244,photoz
ZTF21aaqgbxi,WISEA J082041.11-194001.7,125.17131,-19.66715,0.297715675935406,NED,NULL,NULL,NULL,NULL
ZTF21aaqgbkd,WISEA J084215.96-110211.1,130.56642,-11.03653,2.788079559137143,NED,NULL,NULL,NULL,NULL
ZTF21aaqekjc,SDSS J160630.88+552120.6,241.628684433612,55.355724209411896,3.9956147884734796,SDSSDR16,False,0.123,0.0286,photoz
ZTF21aaqchgu,SDSS J135644.53+490733.1,209.18557197962397,49.1258703407145,3.9438958011196585,SDSSDR16,False,0.110,0.0142,photoz
ZTF21aaqarsw,SDSS J114604.98+255308.4,176.520785394637,25.8856757687825,2.697431604131631,SDSSDR16,False,0.156,0.0256,photoz
ZTF21aapzgtu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aapvtdw,2MASS J16164606+1514124,244.19189,15.23684,4.709862261831323,NED,True,0.033693,NULL,
ZTF21aapvfhk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aapscpi,WISEA J110210.79-273527.5,165.54516,-27.59098,2.551350189154348,NED,NULL,NULL,NULL,NULL
ZTF21aapriwm,WISEA J124000.58+010924.2,190.00238,1.15675,1.096916525844867,NED,True,0.079686,NULL,
ZTF21aaprbux,WISEA J113223.98+050734.9,173.09994,5.12637,1.0694933523112702,NED,True,0.073078,NULL,SPEC
ZTF21aapqzly,WISEA J114839.83+035607.4,177.16588,3.93528,1.898461732200124,NED,True,0.058986,NULL,
ZTF21aapqbyz,SDSS J100451.04+480402.0,151.212677977614,48.06724390349321,0.45802941182037804,SDSSDR16,False,0.359,0.1293,photoz
ZTF21aappmyx,2MASX J09494529+0850282,147.43879,8.84114,3.952546997765505,NED,True,0.097494,NULL,
ZTF21aappkrg,WISEA J102528.16-101226.1,156.36735,-10.20727,0.28423325835823404,NED,NULL,NULL,NULL,NULL
ZTF21aappiyb,SDSS J092742.54+014432.8,141.927283896786,1.74245407627007,0.9910272499122581,SDSSDR16,False,0.221,0.0762,photoz
ZTF21aappfdu,WISEA J085501.39-202635.4,133.75579,-20.44322,0.48274408248264017,NED,NULL,NULL,NULL,NULL
ZTF21aappdev,WISEA J094324.14-202011.4,145.85046,-20.33695,1.1322943968379393,NED,NULL,NULL,NULL,NULL
ZTF21aapoxjo,SDSS J090857.77-025012.6,137.24073648035,-2.83685324235873,2.651571695917408,SDSSDR16,False,0.101,0.0242,photoz
ZTF21aapowty,WISEA J095633.55+004503.0,149.13964,0.75087,9.377072066384862,NED,True,0.046217,NULL,
ZTF21aapouwv,WISEA J083742.46-111117.5,129.42688,-11.18836,1.6702583065182384,NED,True,0.053447,NULL,
ZTF21aapomjl,WISEA J065301.80+532729.4,103.2575,53.45806,5.594664640286782,NED,NULL,NULL,NULL,NULL
ZTF21aapomdb,SDSS J083632.67+644510.2,129.13614042621901,64.7528348527515,0.42126033940210866,SDSSDR16,False,0.186,0.0366,photoz
ZTF21aapolle,WISEA J064656.14+522207.9,101.73396,52.36882,0.42191004190467934,NED,NULL,NULL,NULL,NULL
ZTF21aapoiht,SDSS J083256.08+541502.4,128.233691542232,54.2506770291906,1.123117709937626,SDSSDR16,False,0.051,0.0308,photoz
ZTF21aapoeow,SDSS J080247.82+254455.4,120.69928236532101,25.7487291872124,1.1309505321586844,SDSSDR16,False,0.168,0.0318,photoz
ZTF21aapnupd,WISEA J071555.64+415754.1,108.98184,41.96504,0.7068851619807477,NED,NULL,NULL,NULL,NULL
ZTF21aapkxyv,SDSS J152155.27+082525.6,230.480303013172,8.42378964771426,19.98862895842338,SDSSDR16,True,0.03905037,0.00001,specz
ZTF21aapkjri,SDSS J134215.54+065606.0,205.56475076110402,6.9350239751163105,1.127315186291346,SDSSDR16,False,0.146,0.0326,photoz
ZTF21aapkcrs,SDSS J143056.95+253557.9,217.737332969118,25.599426542047,0.5980593390930324,SDSSDR16,False,0.114,0.0167,photoz
ZTF21aapjlyx,SDSS J130522.37+331255.9,196.343242931406,33.2155464035671,1.904913261622695,SDSSDR16,False,0.103,0.0202,photoz
ZTF21aapjjec,SDSS J142323.34+554921.3,215.847290843807,55.822605477013596,1.9096381319758509,SDSSDR16,False,0.105,0.0508,photoz
