oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21aarajhk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aaqztcg,WISEA J164841.04+215950.8,252.17108,21.99742,1.156746043629028,NED,True,0.057739,NULL,
ZTF21aaqzojp,WISEA J121508.99+045558.7,183.78747,4.93298,2.9398156516911276,NED,True,0.07836,NULL,
ZTF21aaqzalw,SDSS J100955.18+051832.8,152.47990812199,5.30913536412751,0.1140576681861155,SDSSDR16,False,0.087669,0.021881,photoz
ZTF21aaqyetj,WISEA J092533.21-244552.5,141.38837,-24.76469,1.7925334577874863,NED,True,0.053694,NULL,
ZTF21aaqyeej,WISEA J052543.61+680323.5,81.43174,68.05655,0.5934659553167586,NED,NULL,NULL,NULL,NULL
ZTF21aaqxhcq,WISEA J071656.82+531206.1,109.23687,53.20172,2.1745327818098565,NED,NULL,NULL,NULL,NULL
ZTF21aaqxfwi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aaqxeih,SDSS J073211.08+154228.3,113.046176100395,15.7078650471951,0.17099729390182394,SDSSDR16,False,0.106771,0.025808,photoz
ZTF21aaquhqr,LCRS B124628.6-115605,192.27247,-12.20736,6.633384129921362,NED,NULL,NULL,NULL,NULL
ZTF21aaqhxvc,WISEA J092649.91+021001.8,141.70764,2.16694,2.9261961743046547,NED,NULL,NULL,NULL,NULL
