object,nobs,first_detection,last_detection,count,report_type,first_date,last_date,source,alerce_link
ZTF21abcfobn,2,2021-05-19T08:21:12.997Z,2021-05-22T06:27:06.998Z,3,TOM,2021-05-22T15:46:52.988Z,2021-05-22T16:15:38.576Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcfobn
ZTF21abchaya,2,2021-05-18T11:12:58.003Z,2021-05-22T11:13:48.002Z,3,TOM,2021-05-22T15:47:41.290Z,2021-05-22T16:15:34.325Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abchaya
ZTF21abcgjsv,3,2021-05-19T10:49:11.003Z,2021-05-22T10:26:56.002Z,3,TOM,2021-05-22T15:46:20.126Z,2021-05-22T16:15:21.794Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgjsv
ZTF21abbwkrc,4,2021-05-20T06:30:34.997Z,2021-05-22T06:51:58.996Z,3,TOM,2021-05-20T15:41:46.652Z,2021-05-22T16:15:10.207Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abbwkrc
ZTF21abbzxeo,4,2021-05-19T09:13:35.996Z,2021-05-22T10:17:10.996Z,2,TOM,2021-05-19T18:27:12.930Z,2021-05-22T16:15:04.428Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abbzxeo
ZTF21abcgzxb,1,2021-05-22T11:29:40.001Z,2021-05-22T11:29:40.001Z,3,TOM,2021-05-22T15:29:25.237Z,2021-05-22T16:14:26.284Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgzxb
ZTF21abcgzbc,3,2021-05-22T11:28:59.998Z,2021-05-22T11:35:47.002Z,5,TOM,2021-05-22T15:25:37.311Z,2021-05-22T16:14:22.772Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgzbc
ZTF21abchauw,1,2021-05-22T11:20:45.997Z,2021-05-22T11:20:45.997Z,3,TOM,2021-05-22T15:29:57.864Z,2021-05-22T16:14:18.470Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abchauw
ZTF21abcharg,1,2021-05-22T11:15:10.998Z,2021-05-22T11:15:10.998Z,3,TOM,2021-05-22T15:29:48.120Z,2021-05-22T16:14:12.184Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcharg
ZTF21abcgotq,2,2021-05-19T09:21:53.997Z,2021-05-22T09:59:33.996Z,1,TOM,2021-05-22T16:13:49.893Z,2021-05-22T16:13:49.893Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgotq
ZTF21abcgtax,1,2021-05-22T11:00:03.997Z,2021-05-22T11:00:03.997Z,1,TOM,2021-05-22T16:13:32.011Z,2021-05-22T16:13:32.011Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgtax
ZTF21abcgroy,1,2021-05-22T10:52:25.999Z,2021-05-22T10:52:25.999Z,1,TOM,2021-05-22T16:13:08.782Z,2021-05-22T16:13:08.782Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgroy
ZTF21abcgrow,1,2021-05-22T10:52:25.999Z,2021-05-22T10:52:25.999Z,3,TOM,2021-05-22T15:28:43.327Z,2021-05-22T16:13:03.592Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgrow
ZTF21abcgrcj,1,2021-05-22T10:51:03.003Z,2021-05-22T10:51:03.003Z,3,TOM,2021-05-22T15:28:54.516Z,2021-05-22T16:12:59.727Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgrcj
ZTF21abcgugg,1,2021-05-22T10:31:54.998Z,2021-05-22T10:31:54.998Z,3,TOM,2021-05-22T15:34:00.886Z,2021-05-22T16:12:35.830Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgugg
ZTF21abcgufz,1,2021-05-22T10:31:54.998Z,2021-05-22T10:31:54.998Z,3,TOM,2021-05-22T16:08:20.936Z,2021-05-22T16:12:25.859Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgufz
ZTF21abcgaln,1,2021-05-22T09:22:02.999Z,2021-05-22T09:22:02.999Z,5,TOM,2021-05-22T14:22:51.893Z,2021-05-22T16:11:12.108Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcgaln
ZTF21abcdtoi,2,2021-05-22T09:45:17.997Z,2021-05-22T11:11:06.996Z,6,TOM,2021-05-22T14:23:20.475Z,2021-05-22T16:09:47.052Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcdtoi
ZTF21abceejl,2,2021-05-22T07:29:49.001Z,2021-05-22T08:55:43.996Z,2,TOM,2021-05-22T15:27:03.031Z,2021-05-22T16:09:43.251Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abceejl
ZTF21abbzcxe,4,2021-05-22T05:05:27.003Z,2021-05-22T07:07:07.000Z,6,TOM,2021-05-22T14:22:37.686Z,2021-05-22T16:09:33.471Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abbzcxe
ZTF21abcglsi,2,2021-05-22T09:39:10.002Z,2021-05-22T10:40:46.997Z,1,TOM,2021-05-22T16:05:26.976Z,2021-05-22T16:05:26.976Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abcglsi
ZTF21abbwkrc,4,2021-05-20T06:30:34.997Z,2021-05-22T06:51:58.996Z,1,TOM,2021-05-20T11:21:51.259Z,2021-05-20T11:21:51.259Z,SN Hunter 0.1.0,https://alerce.online/object/ZTF21abbwkrc
