object,nobs,first_detection,last_detection,count,report_type,last_date,first_date,source,alerce_link
ZTF21achcxzy,2,2021-10-11T07:39:32.996Z,2021-10-11T08:28:09.998Z,2,TOM,2021-10-11T14:17:09.908929Z,2021-10-11T11:35:51.721714Z,,https://alerce.online/object/ZTF21achcxzy
ZTF21achirdq,2,2021-10-10T12:49:24.004Z,2021-10-11T12:40:36.998Z,1,TOM,2021-10-11T14:17:00.062277Z,2021-10-11T14:17:00.062277Z,,https://alerce.online/object/ZTF21achirdq
ZTF21acgnagk,2,2021-10-07T04:18:55.999Z,2021-10-11T08:10:58.002Z,1,TOM,2021-10-11T14:16:54.735825Z,2021-10-11T14:16:54.735825Z,,https://alerce.online/object/ZTF21acgnagk
ZTF21acheolt,2,2021-10-09T08:53:36.004Z,2021-10-11T08:40:41.998Z,1,TOM,2021-10-11T14:16:00.049119Z,2021-10-11T14:16:00.049119Z,,https://alerce.online/object/ZTF21acheolt
ZTF21achdbad,2,2021-10-09T08:39:39.004Z,2021-10-11T07:42:17.001Z,1,TOM,2021-10-11T14:15:54.258779Z,2021-10-11T14:15:54.258779Z,,https://alerce.online/object/ZTF21achdbad
ZTF21achflrl,3,2021-10-09T08:42:25.998Z,2021-10-11T10:00:19.996Z,1,TOM,2021-10-11T14:15:32.417512Z,2021-10-11T14:15:32.417512Z,,https://alerce.online/object/ZTF21achflrl
ZTF21acfdigc,3,2021-10-07T06:41:45.997Z,2021-10-11T08:08:55.003Z,1,TOM,2021-10-11T14:15:28.137753Z,2021-10-11T14:15:28.137753Z,,https://alerce.online/object/ZTF21acfdigc
ZTF21achagkv,5,2021-10-09T09:20:28.003Z,2021-10-11T10:47:37.000Z,1,TOM,2021-10-11T14:14:51.965088Z,2021-10-11T14:14:51.965088Z,,https://alerce.online/object/ZTF21achagkv
ZTF21achhsra,2,2021-10-11T10:38:38.996Z,2021-10-11T11:36:18.003Z,1,TOM,2021-10-11T14:14:06.938070Z,2021-10-11T14:14:06.938070Z,,https://alerce.online/object/ZTF21achhsra
ZTF21achfqrv,1,2021-10-11T09:03:34.998Z,2021-10-11T09:03:34.998Z,1,TOM,2021-10-11T14:13:55.225338Z,2021-10-11T14:13:55.225338Z,,https://alerce.online/object/ZTF21achfqrv
ZTF21achfkrw,2,2021-10-11T08:58:37.998Z,2021-10-11T09:57:36.000Z,2,TOM,2021-10-11T14:13:40.978282Z,2021-10-11T11:35:01.711283Z,,https://alerce.online/object/ZTF21achfkrw
ZTF21achfgmf,2,2021-10-11T08:55:54.002Z,2021-10-11T10:12:06.998Z,1,TOM,2021-10-11T14:13:28.805564Z,2021-10-11T14:13:28.805564Z,,https://alerce.online/object/ZTF21achfgmf
ZTF21achfcrm,1,2021-10-11T08:54:33.002Z,2021-10-11T08:54:33.002Z,1,TOM,2021-10-11T14:13:18.738034Z,2021-10-11T14:13:18.738034Z,,https://alerce.online/object/ZTF21achfcrm
ZTF21achfddh,2,2021-10-11T08:53:50.001Z,2021-10-11T10:11:26.002Z,2,TOM,2021-10-11T14:13:14.417740Z,2021-10-11T13:04:47.843654Z,,https://alerce.online/object/ZTF21achfddh
ZTF21achezyt,1,2021-10-11T08:48:20.998Z,2021-10-11T08:48:20.998Z,1,TOM,2021-10-11T14:12:56.057339Z,2021-10-11T14:12:56.057339Z,,https://alerce.online/object/ZTF21achezyt
ZTF21achenap,1,2021-10-11T08:37:09.998Z,2021-10-11T08:37:09.998Z,1,TOM,2021-10-11T14:12:25.258818Z,2021-10-11T14:12:25.258818Z,,https://alerce.online/object/ZTF21achenap
ZTF21achejau,2,2021-10-11T08:33:01.002Z,2021-10-11T09:44:00.997Z,2,TOM,2021-10-11T14:12:16.607648Z,2021-10-11T11:35:26.365180Z,,https://alerce.online/object/ZTF21achejau
