oid,host_id,z
ZTF20abhtxwf,SDSS J011515.04+343410.7,0.083
ZTF20abhucmd,SDSS J225751.14+041147.0,0.032
ZTF20abhjwvh,NGC 4939,0.010374
ZTF20abhrmxh,WISEA J004443.84+464448.1,
ZTF20abhjxyo,LCRS B114107.4-031020,0.097248
ZTF20abhtwtt,SDSS J001325.98+095851.2,0.083
ZTF20abhrkwi,SDSS J235219.19+250228.0,0.069
ZTF20abhlncz,MSPM 00877,0.03065
ZTF20abhkfrs,WISEA J100548.40+772037.1,
ZTF20abhkees,SDSS J134103.85+242913.2,0.066
ZTF20abhjzqp,WISEA J132855.64+151254.0,0.077432
ZTF20abhjyyl,SDSS J125521.00+192744.0,0.158
ZTF20abhtxeb,SDSS J000748.18+140550.0,0.102
ZTF20abhkgkb,WISEA J135633.56-232440.4,0.078481
