oid,host_id,z
ZTF20acduzdd,WISEA J053315.43+080916.2,
ZTF20acdolbr,WISEA J015056.49-140653.3,
ZTF20acdokuu,SDSS J020644.19+055529.7,0.136
ZTF20acdovub,SDSS J234219.23+105302.6,0.145
ZTF20acdutzr,SDSS J005800.04-025936.3,0.353
ZTF20acdvbmn,LEDA 2272773,
ZTF20aceasvr,WISEA J073424.03+774541.0,
ZTF20acduxvu,WISEA J044512.56-071526.8,
ZTF20aceaobj,SDSS J033852.62+155648.9,0.153
ZTF20acdpklw,WISEA J002030.99-183602.0,
ZTF20acdpydb,WISEA J234459.21+741111.0,
ZTF20acdoltz,GALEXMSC J011641.24-105957.8,
ZTF20accoccp,WISEA J220504.04-090126.7,0.063928
ZTF20acdffae,WISEA J050715.69+692906.6,
ZTF20acdvrnd,SDSS J034159.34+355303.8,0.026
ZTF20acdnvxh,SDSS J231307.59-040412.7,0.078
ZTF20acdnqzm,SDSS J233811.81-050037.0,0.143
ZTF20acdnmpv,VII Zw 909 NOTES02,
ZTF20acdojld,WISEA J020801.78-101148.6,
ZTF20accxuth,WISEA J070207.34+335324.5,
ZTF20acdnghf,SDSS J221917.05+091845.8,0.129
ZTF20acdncxl,SDSS J221255.67+015030.5,0.200
ZTF20aceasmi,WISEA J060924.47+584633.5,
ZTF20acdgdzm,WISEA J023246.28+495813.5,
ZTF20acdflmm,WISEA J030550.63-033350.1,
ZTF20acdtume,WISEA J025210.26+180832.8,
