oid,host_id,z
ZTF20acpznwd,FGC 1420,0.025036
ZTF18aaqlahr,SDSS J134029.56+384716.8,0.060
ZTF20actkvwm,WISEA J114713.23-122835.1,
ZTF20actkuxm,SDSS J114257.42+020553.9,0.137
ZTF20actkusm,WISEA J123038.46+023449.2,0.102474
ZTF20actkulc,WISEA J120912.92+021521.7,0.075748
ZTF20acpbdvj,WISEA J121605.64+014250.9,0.0823
ZTF20actkuse,WISEA J123035.39+072618.0,0.095132
ZTF20actkuir,SDSS J123342.58+085023.7,0.161
ZTF20actkuke,KUG 1216+241,0.071268
ZTF20actktct,SDSS J104035.46+125924.7,0.123
ZTF20actkqvr,WISEA J090400.62-082938.4,
ZTF20actkmks,CGCG 064-083,0.028146
ZTF20actlfwu,SDSS J094731.99+122346.4,0.177
ZTF20actjbaf,WISEA J080141.37-102421.9,
ZTF20actiymd,WISEA J081750.69-054305.6,0.039434
ZTF20acthbfv,WISEA J070556.06+314222.1,
ZTF20actfpka,WISEA J034949.77+273827.6,
ZTF20actfjyd,WISEA J040155.82+163605.8,
ZTF20actfeym,WISEA J025857.96+095748.3,0.055905
ZTF20acrxvpd,WISEA J034135.72+111757.3,
ZTF20actekrw,WISEA J034717.72-082702.9,
ZTF20actawpa,SDSS J092314.98+333401.3,0.047
ZTF20acsfean,WISEA J134158.32+502915.5,0.062347
ZTF20acounqo,SDSS J123915.57+095955.3,0.090
ZTF20acourrw,LCRS B114634.1-022848,0.130548
ZTF20acsfciw,WISEA J114145.06-045648.2,0.098932
ZTF20actkvnm,WISEA J120304.42-000727.4,0.122237
ZTF20acounxo,IC 2974,0.019153
ZTF20acouofb,LCRS B120214.3-051913,0.026932
ZTF20actktut,SDSS J122423.09+440934.7,0.105
ZTF20actkqcl,SDSS J100918.51+555347.2,0.286
ZTF20actkqlc,SDSS J100948.66+582028.1,0.171
ZTF20acsesce,CGCG 004-080 NED01,0.05273
ZTF20actkoic,SDSS J084134.33+552750.3,0.193
ZTF20acrvgki,WISEA J061605.22+540036.4,
ZTF20acrzuko,WISEA J022729.36-165150.3,
ZTF20acrrssy,MRK 0254,0.029695
ZTF20actkuho,SDSS J131649.42+524759.4,0.227
ZTF20actkuhh,SDSS J131555.28+380058.6,0.169
ZTF20actkupc,SDSS J112622.66+181745.2,0.133
ZTF20actktuy,SDSS J115757.11+431301.3,0.286
ZTF20actkuhn,SDSS J123600.75+405809.3,0.196
ZTF20acsfdlj,WISEA J104853.75+352309.4,0.11064
ZTF20actlkjb,2MASX J10281991+1224554,0.05387
ZTF20actksyf,SDSS J102841.23+112324.8,0.123
ZTF20actkjfq,SDSS J090121.88+022615.0,
ZTF20acsenmb,SDSS J075142.62-003154.2,0.086
ZTF20actjbas,WISEA J074521.31-033620.4,
ZTF20actdhix,WISEA J021305.05-243552.0,
ZTF20acstbfh,M31,
