oid,host_id,z
ZTF20acxswqc,SDSS J131247.95+311234.9,0.147
ZTF20acxsxac,UGC 08825,0.045795
ZTF20acwysga,SDSS J123116.16+301110.7,0.199
ZTF20acxfdjs,WISEA J113910.08+103940.5,0.084241
ZTF20acwyscg,SDSS J134005.80+460251.8,0.224
ZTF20acxteus,WISEA J134249.31+142811.4,0.158703
ZTF20acxsxmb,SDSS J105839.79+000410.4,0.130
ZTF20acwpgri,SDSS J105504.50+080229.9,0.196
ZTF20acwyhjl,SDSS J114300.93+430653.1,0.304
ZTF20acxtdhc,SDSS J120853.78+432651.2,0.174
ZTF20acxszbd,WISEA J110236.93+463438.4,0.157125
ZTF20acxqxys,WISEA J095711.91+482711.7,0.132095
ZTF20acwnrau,SDSS J100542.50+490610.9,0.104
ZTF20acwogel,SDSS J095114.96+371431.9,0.115
ZTF20acxssfp,SDSS J101018.49+185034.2,0.214
ZTF20acxtaau,SDSS J100316.36+210545.9,0.145468
ZTF20acwohcl,SDSS J101056.54+191808.4,0.129
ZTF20acxtayt,WISEA J100439.17-022426.7,0.165254
ZTF20acwxeis,WISEA J091812.94-052917.5,
ZTF20acxnfze,SDSS J051240.27+830748.0,0.040
ZTF20acxtfta,WISEA J151541.54+014549.0,0.130179
ZTF20acxsxby,WISEA J134029.15+203808.2,0.164625
ZTF18aavnwwt,WISEA J125913.00+300347.9,0.07953
ZTF20acxtfat,SDSS J131438.17+304826.8,0.191
ZTF20acxsgbv,WISEA J120743.43+735059.6,
ZTF20acxsouh,WISEA J135103.05+673640.8,
ZTF20acxtfcs,WISEA J132354.56+175028.2,0.199998
ZTF20acxsbhs,WISEA J091853.30-234300.2,
ZTF20acwozyz,SDSS J113719.43+451149.5,0.151
ZTF20acxsyvj,WISEA J130224.77+725405.2,
ZTF20acwnyou,SDSS J084009.19+161205.5,0.161
ZTF20acxqble,SDSS J074131.91+420519.1,0.311
ZTF20acxtewc,WISEA J141731.90+034948.3,0.036256
ZTF20acwyhme,SDSS J124150.78+362057.2,0.098
ZTF20acxsyqn,SDSS J110836.42+255413.0,0.123
