oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21aayqehn,SDSS J135924.86-003412.1,209.853603351695,-0.570033594123487,1.9131242315164743,SDSSDR16,False,0.121572,0.032904,photoz
ZTF21aayqcqp,WISEA J132530.06-020505.8,201.37525,-2.08494,2.6938298806702883,NED,True,0.0543,NULL,
ZTF21aaypxku,SDSS J122338.43+463057.2,185.910116424899,46.515911505961,0.7859814196927768,SDSSDR16,False,0.291624,0.114315,photoz
ZTF21aaypufb,SDSS J142320.41+425952.9,215.835025148234,42.998033353527,0.7214247607762875,SDSSDR16,False,0.175891,0.120344,photoz
ZTF21aaypiqz,SDSS J113433.60+503037.2,173.640008143369,50.5103423758939,1.4363818051307324,SDSSDR16,False,0.183925,0.059211,photoz
ZTF21aaypdkv,SDSS J124926.34+055155.6,192.359746935854,5.86546581951678,1.0658992783784718,SDSSDR16,False,0.095031,0.031355,photoz
ZTF21aayospw,SDSS J112752.66+194721.4,171.969402471252,19.789288159869,0.85163609167496,SDSSDR16,False,0.182774,0.02631,photoz
ZTF21aayooxv,WISEA J111829.96-093722.7,169.62483,-9.62317,5.252080312374991,NED,True,0.086346,NULL,
ZTF21aayoneu,SDSS J115138.66+091605.7,177.911074276454,9.26825239670097,0.7730608343990844,SDSSDR16,False,0.206061,0.051793,photoz
ZTF21aaynqqe,WISEA J112722.46-141933.4,171.84362,-14.32591,3.473343535705046,NED,NULL,NULL,NULL,NULL
ZTF21aaynold,2MASX J11190306+2111012,169.7629,21.18368,8.959865337676266,NED,True,0.16535,NULL,
ZTF21aaynohe,SDSS J104819.52+283316.2,162.081346126782,28.5545153744132,0.060560360082193364,SDSSDR16,False,0.12815,0.028513,photoz
ZTF21aaynohd,SDSS J104842.87+281428.7,162.17862674903,28.2413269951451,0.2063293219770144,SDSSDR16,False,0.198731,0.078481,photoz
ZTF21aaynlsf,WISEA J082242.51+715104.2,125.6771,71.8515,1.6074626086943749,NED,NULL,NULL,NULL,NULL
ZTF21aayngif,SDSS J103801.17+022939.6,159.504871659458,2.49433569554319,0.12203512687531565,SDSSDR16,False,0.118529,0.02289,photoz
ZTF21aaynejw,SDSS J105116.16-233556.9,162.817352107497,-23.5991600731932,0.6806991067898466,SDSSDR16,False,0.101748,0.026449,photoz
ZTF21aaynefi,SDSS J084731.95+012442.5,131.883117627837,1.41181056535458,1.9817681258201727,SDSSDR16,False,0.117002,0.087558,photoz
ZTF21aayncid,SDSS J082050.26+070553.1,125.209402815,7.09810657940765,1.1261621272819529,SDSSDR16,False,0.093096,0.03175,photoz
ZTF21aaymxdv,SDSS J085813.79+341920.5,134.557471248551,34.3223792465858,3.100343282570028,SDSSDR16,True,0.112189,3.438185e-05,specz
ZTF21aaymwqa,SDSS J093858.35+303406.0,144.743131613956,30.5683563633438,0.48995710563038486,SDSSDR16,False,0.131598,0.046977,photoz
ZTF21aaymwgn,SDSS J092406.20+304423.3,141.025841380177,30.7398127369734,0.2322197237403364,SDSSDR16,False,0.517517,0.18414,photoz
ZTF21aaymuyw,SDSS J101547.78+104835.7,153.949071095137,10.8099321552019,4.145945971255988,SDSSDR16,False,0.112083,0.029278,photoz
ZTF21aaygkha,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aaygefv,SDSS J161428.98+061810.1,243.620730847951,6.30282729769975,3.1540688381231394,SDSSDR16,False,0.086368,0.019006,photoz
ZTF21aayfbwv,SDSS J152559.27+305658.6,231.49695937187,30.9496188508171,1.1987504348552986,SDSSDR16,False,0.105388,0.02429,photoz
ZTF21aayewmf,SDSS J130402.21+443943.6,196.009188769862,44.6621181229318,2.37453841495289,SDSSDR16,False,0.270847,0.027291,photoz
ZTF21aayeuwo,SDSS J130059.18+342200.9,195.246564765056,34.3669306210202,0.3309565453036233,SDSSDR16,False,0.302281,0.110353,photoz
ZTF21aayebkx,WISEA J145657.75+261647.7,224.24064,26.2799,2.5023582561124993,NED,True,0.082435,NULL,
ZTF21aayebfv,WISEA J142910.92+565924.4,217.29553,56.9901,3.609057053297631,NED,True,0.062202,NULL,
ZTF21aaydumh,SDSS J131556.47+415524.6,198.985299688998,41.9235237048361,3.0089472726392397,SDSSDR16,False,0.071369,0.016902,photoz
ZTF21aaydulk,SDSS J130641.71+565228.7,196.673792336481,56.8746478643589,3.715732591403537,SDSSDR16,False,0.115566,0.063247,photoz
ZTF21aaydomp,SDSS J124202.24-140729.5,190.509318706511,-14.1248685423746,1.0438324859114354,SDSSDR16,False,0.058037,0.025604,photoz
ZTF21aaydcvy,SDSS J101035.98+462919.7,152.649931566673,46.4888055467318,4.104586473780808,SDSSDR16,False,0.190145,0.04725,photoz
ZTF21aaxzkfe,WISEA J202824.46+020108.5,307.10193,2.01903,2.7614206674196375,NED,NULL,NULL,NULL,NULL
ZTF21aaxyios,SDSS J125811.46+302251.9,194.547744089831,30.3811019106539,1.2708657259113945,SDSSDR16,False,0.062119,0.017376,photoz
ZTF21aaxyelm,WISEA J124451.68+465624.8,191.21542,46.9402,1.9094513898231187,NED,True,0.17072,NULL,
ZTF21aaxxetp,SDSS J101052.15+434642.0,152.717273632404,43.7783356781696,0.7003773465309688,SDSSDR16,False,0.113472,0.029667,photoz
ZTF21aaxwzan,WISEA J102226.07-050259.1,155.6086,-5.04997,0.7835226575368079,NED,NULL,NULL,NULL,NULL
ZTF21aaxwysf,WISEA J092934.52-161305.9,142.39393,-16.21865,8.083985667211762,NED,True,0.031282,NULL,
ZTF21aaxwype,2MASS J09344866-1153392,143.70276,-11.89424,2.7909159624436857,NED,NULL,NULL,NULL,NULL
ZTF21aaxvxbu,WISEA J141813.74-083442.5,214.55723,-8.57839,0.388364943961585,NED,NULL,NULL,NULL,NULL
ZTF21aaxvnjy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aaxtzbw,SDSS J091121.24+472112.9,137.838510251781,47.3535922042966,0.10193712786929819,SDSSDR16,False,0.135415,0.088117,photoz
ZTF21aaxtlvc,SDSS J133154.67+035403.7,202.977790846618,3.90104185809942,0.4081577888316853,SDSSDR16,False,0.141984,0.029879,photoz
ZTF21aaxthcj,SDSS J142755.39+330010.8,216.980792121702,33.0029994895251,3.5794494751328654,SDSSDR16,True,0.1006327,1.538386e-05,specz
ZTF21aaxtgoa,SDSS J150932.83+215359.0,227.386803464883,21.8997472232316,1.2495525855624612,SDSSDR16,False,0.329395,0.106658,photoz
ZTF21aaxtgab,WISEA J143033.97+200928.7,217.64161,20.15801,0.682556095629255,NED,NULL,NULL,NULL,NULL
ZTF21aaxswfv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aaxstvj,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aaxstsv,SDSS J142330.77+082041.8,215.878224936485,8.344944831013,0.34000800514019003,SDSSDR16,False,0.085275,0.017503,photoz
ZTF21aaxstrx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aaxstgd,SDSS J124810.79+320358.7,192.044955366078,32.0663227409769,2.5196686152550227,SDSSDR16,False,0.141245,0.035236,photoz
ZTF21aaxstaa,WISEA J123844.84+282248.2,189.68685,28.38006,1.1139315280053619,NED,True,0.132928,NULL,
ZTF18aabvouo,SDSS J122847.31+273112.5,187.197141505057,27.5201424911224,0.3503493183414305,SDSSDR16,True,0.1489225,3.473018e-05,specz
