oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21abbsnuu,WISEA J165928.83+101035.6,254.87013,10.17657,1.4349576689626904,NED,NULL,NULL,NULL,NULL
ZTF21abbsncs,SDSS J153443.28+565935.4,233.68033568860298,56.99316828764529,0.5958597606900562,SDSSDR16,True,0.1434487,3.338884e-05,specz
ZTF21abbsboz,SDSS J145259.11+174432.8,223.246298005471,17.742463087980102,0.5602245510904528,SDSSDR16,False,0.133346,0.029548,photoz
ZTF21abbsbov,WISEA J144857.21+181934.1,222.23836,18.32622,6.9359159310854634,NED,True,0.042097,NULL,
ZTF21abbsaam,SDSS J155224.71+052213.8,238.102965981676,5.37050243112629,0.5148454372358049,SDSSDR16,True,0.09762169,2.821375e-05,specz
ZTF21abbrtup,SDSS J154724.86+103825.1,236.85358041626202,10.6403194257483,3.07885077799066,SDSSDR16,False,0.156478,0.01266,photoz
ZTF21abbrtsg,WISEA J183613.25+345435.7,279.05524,34.90992,4.077283731241914,NED,NULL,NULL,NULL,NULL
ZTF21abbrloz,SDSS J175004.36+460203.0,267.518154331858,46.034192169518796,0.25271593880150006,SDSSDR16,False,0.17575,0.047777999999999994,photoz
ZTF21abbrkts,WISEA J181417.09+510824.0,273.57121,51.14001,0.9349796998179004,NED,NULL,NULL,NULL,NULL
ZTF21abbrgnh,SDSS J163415.77+540617.3,248.565706292177,54.10480801680411,0.7939067913002322,SDSSDR16,False,0.316421,0.045683999999999995,photoz
ZTF21abbqxdp,SDSS J165749.74-103721.3,254.457242714739,-10.622586022458,2.0138288402519278,SDSSDR16,False,0.050493,0.021194,photoz
ZTF21abbquja,SDSS J160200.82+443943.1,240.503406984179,44.6619731962715,1.7546013776076368,SDSSDR16,False,0.138381,0.035249,photoz
ZTF21abbqqgx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abbqlze,SDSS J153754.48+552816.0,234.477012393596,55.4711150742002,0.03977346090447543,SDSSDR16,False,0.665828,0.13406700000000002,photoz
ZTF21abbqlcm,WISEA J151751.66+713618.1,229.46528,71.60503,0.4379515296946102,NED,NULL,NULL,NULL,NULL
ZTF21abbqkci,SDSS J153219.91+450033.2,233.08296977563703,45.0092248080488,0.5957208935285879,SDSSDR16,False,0.398328,0.083634,photoz
ZTF21abbqeea,SDSS J145652.70+605004.7,224.219578694545,60.834654363675796,0.5712707914444389,SDSSDR16,False,0.235895,0.07378,photoz
ZTF21abbpzuj,WISEA J143030.21-001115.1,217.6259,-0.18753,0.0879652778641911,NED,True,0.10325,NULL,
ZTF21abbphlb,WISEA J134545.63-243139.3,206.44014,-24.52759,0.9993976043594786,NED,NULL,NULL,NULL,NULL
ZTF21abboibr,WISEA J112146.36-052844.5,170.44358,-5.47869,2.308058731031073,NED,True,0.049821,NULL,
ZTF21abbohfy,SDSS J120220.88+024634.8,180.58698315779802,2.77633396330329,2.9052425296476536,SDSSDR16,False,0.131118,0.036263,photoz
ZTF21abbodim,SDSS J115740.55+051114.8,179.41894392389702,5.18744898942425,0.44999307716376236,SDSSDR16,True,0.08003972,8.702224e-06,specz
ZTF21abboaaz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abbmwhu,SDSS J235339.43+181919.1,358.4143125,18.321991666666666,0.20464058874326224,Simbad,True,0.694985,0.00012799999967683107,C
ZTF21abbkyho,SDSS J151559.19+355740.8,228.99661395912497,35.961347159263,0.5283715345290397,SDSSDR16,False,0.18509,0.11604600000000001,photoz
ZTF21abbkvrt,WISEA J175952.70+692511.3,269.96959,69.41981,0.3503791201005986,NED,NULL,NULL,NULL,NULL
ZTF21abbksrp,WISEA J171814.70+512220.1,259.56126,51.37226,1.6060909030891266,NED,NULL,NULL,NULL,NULL
ZTF21abbkefe,SDSS J155809.47+120245.1,239.53945334662998,12.0458853330233,7.002001592660306,SDSSDR16,True,0.04146126,2.362295e-05,specz
ZTF21abbkaky,SDSS J153029.88+233548.5,232.62450024846402,23.596828266128398,2.02244139188005,SDSSDR16,False,0.30440900000000004,0.167257,photoz
ZTF21abbjybk,SDSS J152001.09+225311.7,230.004525377602,22.8865987603095,1.0155548343402219,SDSSDR16,False,0.339918,0.198772,photoz
ZTF21abbjvgd,SDSS J154409.32+055857.8,236.03882584649799,5.98274551292433,0.8890115254461918,SDSSDR16,False,0.142182,0.027326,photoz
ZTF21abbdgnh,SDSS J161606.87+343118.5,244.02864341659,34.5218159571261,1.6152770369334373,SDSSDR16,False,0.138258,0.033749,photoz
ZTF21abbcukd,SDSS J152653.94+532337.7,231.724767165275,53.39383093569679,3.877928859547386,SDSSDR16,False,0.095391,0.028982,photoz
ZTF21abavqaz,SDSS J172528.79+630842.4,261.36995598667704,63.1451250808694,0.7294445652585112,SDSSDR16,False,0.375222,0.132217,photoz
ZTF21abapnev,SDSS J153201.21+232846.6,233.005023716476,23.4796241550955,1.3080879363879447,SDSSDR16,False,0.15768900000000002,0.040668,photoz
ZTF21abanlll,SDSS J144628.83+132351.9,221.62012790451698,13.3977740820682,0.251958362157676,SDSSDR16,True,0.14645829999999999,3.002448e-05,specz
ZTF21abamotd,SDSS J152956.08+083211.9,232.483678475353,8.53666384616186,8.805082033755793,SDSSDR16,True,0.07119995,1.5032750000000001e-05,specz
ZTF21abagyxa,SDSS J175757.94+512651.8,269.491415101116,51.447727454395,0.16613408205075436,SDSSDR16,False,0.155412,0.040087,photoz
ZTF20abddwle,WISEA J152849.79+353337.3,232.2074,35.56037,0.5826629082131376,NED,True,0.065719,NULL,
