oid,index,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21abeqtxi,0,SDSS J014222.28+303647.3,25.5928213685115,30.613148613772804,1.4698266420669437,SDSSDR16,False,0.100624,0.026552,photoz
ZTF21abeqsmc,1,WISEA J015717.96+352842.8,29.32485,35.478559999999995,0.4504315854446712,NED,NULL,NULL,NULL,NULL
ZTF21abeqqir,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abeqqhv,3,SDSS J005050.40+333943.9,12.7099980129669,33.662215002532804,4.409145734293586,SDSSDR16,False,0.106141,0.025144,photoz
ZTF21abeqmes,4,WISEA J212254.80-130338.7,320.7285,-13.061,0.4342455413105393,NED,NULL,NULL,NULL,NULL
ZTF21abeqltu,5,SDSS J223706.48+252841.0,339.277007931992,25.4780775656603,2.4274138131074716,SDSSDR16,False,0.05680900000000001,0.013913,photoz
ZTF21abeqlox,6,WISEA J212921.74-125630.2,322.34029,-12.94117,2.8280363012221152,NED,NULL,NULL,NULL,NULL
ZTF21abeqhhw,7,SDSS J224750.70+255638.7,341.961258805461,25.9441076844947,4.677816116990188,SDSSDR16,False,0.116593,0.020506,photoz
ZTF21abeqcvx,8,SDSS J214325.41+251332.1,325.85586224401,25.225601892877997,0.3740533469024084,SDSSDR16,False,0.16713499999999998,0.019928,photoz
ZTF21abeqbvz,9,SDSS J213930.50+281700.6,324.877080004832,28.2835098012844,1.4240264891986685,SDSSDR16,False,0.108919,0.048054,photoz
ZTF21abeqbib,10,WISEA J210726.07+333945.5,316.85874,33.662620000000004,0.2538027749713322,NED,NULL,NULL,NULL,NULL
ZTF21abepxze,11,2MASS J19024127-2033033,285.67197000000004,-20.550929999999997,0.3173441963218342,NED,NULL,NULL,NULL,NULL
ZTF21abepxjw,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abepjnw,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abepiqg,14,SDSS J221656.76+124838.6,334.23649213000704,12.810721161336101,0.0472419072700366,SDSSDR16,False,0.560277,0.162248,photoz
ZTF21abephjt,15,WISEA J212936.41+125456.2,322.40171000000004,12.91575,3.570162876905912,NED,NULL,NULL,NULL,NULL
ZTF21abepgzc,16,SDSS J213738.73+193357.2,324.411357407927,19.5658875396368,1.7010335768509022,SDSSDR16,False,0.14552,0.028172000000000006,photoz
ZTF21abepgrx,17,SDSS J212851.37+102412.1,322.21405310071,10.4033846716565,3.0935238139316845,SDSSDR16,False,0.168559,0.035326,photoz
ZTF21abepewq,18,GALEXASC J195024.26-122853.7,297.6011,-12.481589999999999,1.8348336056358336,NED,NULL,NULL,NULL,NULL
ZTF21abepcoe,19,WISEA J193902.78-272806.3,294.76175,-27.46862,0.8086607690985423,NED,NULL,NULL,NULL,NULL
ZTF21abepbnl,20,WISEA J193515.06-253938.6,293.81276,-25.66074,0.6727366642471521,NED,NULL,NULL,NULL,NULL
ZTF21abeoubg,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abeotjf,22,GALEXMSC J173835.81+232240.9,264.64923999999996,23.37803,1.0436228118939832,NED,NULL,NULL,NULL,NULL
ZTF21abeolhf,23,SDSS J154226.10+631248.8,235.60873752290001,63.2135571049769,2.3189984935130687,SDSSDR16,False,0.135469,0.028224000000000006,photoz
ZTF21abeokjv,24,SDSS J153753.96+593114.4,234.47492000000003,59.520619999999994,0.08631111917099818,NED,False,2.435,NULL,PHOT
ZTF21abeokcr,25,WISEA J155405.73+243544.4,238.52377,24.5957,3.5797704001780306,NED,True,0.070246,NULL,NULL
ZTF21abeoiaf,26,WISEA J202107.96-065245.8,305.2832,-6.879169999999999,0.7068118657937859,NED,NULL,NULL,NULL,NULL
