oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21ackxdyp,LCRS B112731.2-060914,172.51615,-6.42961,4.771429362994759,NED,NULL,NULL,NULL,NULL
ZTF21ackxbue,[VV2006] J113320.1+004052,173.33356541666666,0.6813436111111111,0.4140408630363844,Simbad,False,1.633,NULL,D
ZTF21ackxbbe,SDSS J112158.64-102752.7,170.494331345369,-10.4646597341609,4.654651639941635,SDSSDR16,False,0.079263,0.01033,photoz
ZTF21ackwyaz,SDSS J114819.70+650714.2,177.082091128921,65.1206342376207,0.9968545659584125,SDSSDR16,False,0.232972,0.083131,photoz
ZTF21ackwhkq,SDSS J102755.00+092407.5,156.979185547662,9.40208676482584,0.17970994709902918,SDSSDR16,False,0.19101,0.032422,photoz
ZTF21ackwhgy,SDSS J105558.67+325533.2,163.994475708894,32.9259021180195,2.3621699069695388,SDSSDR16,False,0.081463,0.028785,photoz
ZTF21ackttjq,WISEA J052045.71+630834.6,80.19048,63.14295,0.52840727243438,NED,NULL,NULL,NULL,NULL
ZTF21acktlwk,WISEA J040856.73-090238.1,62.23622,-9.04405,1.4512439925246339,NED,NULL,NULL,NULL,NULL
ZTF21acktenn,WISEA J035016.02-172338.0,57.56723,-17.39339,2.3421166770145065,NED,NULL,NULL,NULL,NULL
ZTF21ackszgu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21ackswxk,WISEA J065355.10+162645.5,103.47954,16.44606,2.193480958973736,NED,False,0.104531,NULL,PHOT
ZTF21acksjmc,WISEA J040749.75-172430.1,61.9572,-17.40828,0.8478324592477741,NED,NULL,NULL,NULL,NULL
ZTF21ackrued,WISEA J044012.32+081644.2,70.05142,8.27894,0.1524204286294455,NED,NULL,NULL,NULL,NULL
ZTF21ackrucu,WISEA J041916.10-023012.2,64.81704,-2.50342,0.9516155836091773,NED,NULL,NULL,NULL,NULL
ZTF21ackrraq,WISEA J032744.75+020422.9,51.93648,2.0731,2.181755053981155,NED,NULL,NULL,NULL,NULL
ZTF21ackrpdy,SDSS J032432.45-005655.4,51.1351944082747,-0.948748177909565,0.17738643752129216,SDSSDR16,False,0.388031,0.109948,photoz
