oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index
ZTF22aamcecg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
ZTF22aambwfq,SDSS J173043.51+370956.3,262.681298042177,37.1656502751789,2.113863324515065,SDSSDR16,False,0.178894,0.03218,photoz,
ZTF22aambwee,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0
ZTF22aambfit,SDSS J171820.91+080927.4,259.587124458468,8.15763323421949,1.0663788763943165,SDSSDR16,False,0.140915,0.035129,photoz,1.0
ZTF22aambeqv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.0
ZTF22aamafqh,SDSS J142213.91+094438.9,215.557978703623,9.74413879439605,1.8441842953012613,SDSSDR16,False,0.136362,0.027878,photoz,3.0
ZTF22aamadgh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.0
ZTF22aamaaqu,SDSS J141243.77+320846.5,213.182379408153,32.1462671022704,0.345529812869258,SDSSDR16,False,0.31816,0.128024,photoz,5.0
ZTF22aalzxpg,WISEA J132020.17+161949.7,200.08406,16.3305,4.41411359925581,NED,True,0.082944,NULL,SPEC,6.0
ZTF22aalzgau,WISEA J155528.07-125839.4,238.86719,-12.97746,3.676388331422018,NED,NULL,NULL,NULL,NULL,7.0
ZTF22aalzcdo,SDSS J164241.00+374931.4,250.670845793033,37.8254024735386,1.6316757355503475,SDSSDR16,False,0.118154,0.030876,photoz,8.0
ZTF22aalyzsj,WISEA J132008.08+422209.9,200.03371,42.36942,6.24837780942493,NED,True,0.166832,NULL,SPEC,9.0
ZTF22aalyumh,WISEA J135547.09+040948.3,208.94621,4.16344,1.6338727612350752,NED,True,0.079504,NULL,SPEC,10.0
ZTF22aalyrvv,SDSS J134652.50+184023.4,206.718745663822,18.6731892997696,3.917109584094438,SDSSDR16,False,0.10704,0.026866,photoz,11.0
ZTF22aalypqe,WISEA J133311.60+231356.5,203.29845,23.23235,2.3158370951088,NED,True,0.146162,NULL,SPEC,12.0
ZTF22aalyopk,WISEA J135618.50-151553.1,209.07696,-15.26442,3.630378047925039,NED,False,0.072728,NULL,PHOT,13.0
ZTF22aalxsao,SDSS J131229.88+162630.0,198.12449006934,16.4416673365089,4.106088326958296,SDSSDR16,False,0.15737,0.035569,photoz,14.0
ZTF22aalxqbc,SDSS J131316.47+004507.0,198.31864235735,0.751952083378077,1.7704989410450078,SDSSDR16,False,0.109564,0.048036,photoz,15.0
ZTF22aalxleo,SDSS J123332.14+070534.8,188.383915210691,7.0930054347477,0.8916306312013133,SDSSDR16,False,0.179034,0.062377,photoz,16.0
ZTF22aalxjtp,WISEA J121247.99-152111.0,183.20008,-15.35312,1.6311037663357228,NED,NULL,NULL,NULL,NULL,17.0
ZTF22aalwoky,SDSS J172623.19+323032.1,261.596621968941,32.5089194584958,0.4248986390121988,SDSSDR16,False,0.156194,0.01758,photoz,18.0
ZTF22aalwfzm,SDSS J153416.80+390943.5,233.570013591543,39.1621047479795,1.7272534247785205,SDSSDR16,False,0.11167,0.01211,photoz,19.0
ZTF22aalvxkc,2MASS J00283618+4652221,7.15078,46.87283,0.4215878066585483,NED,NULL,NULL,NULL,NULL,20.0
ZTF22aalrzpu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.0
ZTF22aalpzjo,SDSS J154156.30+441209.8,235.484580265383,44.2027318233895,0.2598997482593393,SDSSDR16,False,0.201586,0.074391,photoz,22.0
ZTF22aalpvxg,2MASX J15073302-2126078,226.88762,-21.43574,3.765071469890653,NED,True,0.047416,NULL,NULL,23.0
ZTF22aaloslf,SDSS J135741.79+472453.4,209.42414166666663,47.414858333333335,0.2094764719417531,Simbad,False,0.46649,NULL,E,24.0
ZTF22aalorla,WISEA J141806.60+371401.0,214.52744,37.23358,4.297163506970277,NED,True,0.06804,NULL,SPEC,25.0
ZTF22aalomqt,SDSS J122401.22+063139.8,186.005065079429,6.52774401447895,2.8662137865069317,SDSSDR16,False,0.157604,0.041824,photoz,26.0
ZTF22aalogah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.0
ZTF22aalnthb,WISEA J115615.18+041444.1,179.06327,4.24558,4.819493467208348,NED,True,0.074081,NULL,SPEC,28.0
ZTF22aalnomc,SDSS J130527.79+513505.0,196.365789678389,51.5847254299553,1.2837218366479974,SDSSDR16,False,0.191577,0.02916,photoz,29.0
ZTF22aalnokj,SDSS J101242.84+552515.0,153.178507090845,55.4208584502904,0.185545108553619,SDSSDR16,False,0.58002,0.234035,photoz,30.0
ZTF22aaliisa,SDSS J161038.74+190326.9,242.661397768258,19.0574835646247,4.504843664495281,SDSSDR16,False,0.027749,0.006439,photoz,31.0
ZTF22aalfmec,IC 5145,328.59608,15.15683,10.539229577251774,NED,True,0.024594,NULL,NULL,32.0
ZTF22aakpzjs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33.0
