oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,level_0,index
ZTF22aamhfyu,WISEA J015456.74+373629.3,28.73608,37.60881,5.8997238475921785,NED,NULL,NULL,NULL,NULL,,
ZTF22aamhdwz,WISEA J205205.17+222538.3,313.02153,22.4272,0.8281330659601761,NED,NULL,NULL,NULL,NULL,,
ZTF22aamhcyk,SDSS J224933.22-032024.6,342.388433812754,-3.34016814981733,1.1627937038624063,SDSSDR16,False,0.09271,0.01768,photoz,,
ZTF22aamhctz,LEDA 1241851,338.93999999999994,2.9580555555555557,10.72260144483565,Simbad,False,0.039771,NULL,E,,
ZTF22aamhbxa,SDSS J221706.10+024646.9,334.275424341451,2.77970677170773,1.912061824974424,SDSSDR16,False,0.06851,0.015749,photoz,,
ZTF22aamhbkn,SDSS J224525.91-051338.5,341.357961976023,-5.22738296832525,7.038755473012767,SDSSDR16,False,0.056495,0.014324,photoz,,
ZTF22aamgzdc,WISEA J205604.00+262643.5,314.01625,26.44539,4.698202845034349,NED,False,0.10672,NULL,PHOT,,
ZTF22aamgzci,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
ZTF22aamgvoy,WISEA J220152.08-124208.7,330.46725,-12.70225,4.774317352064634,NED,False,0.065416,NULL,PHOT,0.0,NULL
ZTF22aamgtcc,WISEA J222032.14+683426.7,335.13395,68.57411,2.213563023629031,NED,NULL,NULL,NULL,NULL,1.0,NULL
ZTF22aamgtbj,WISEA J213807.26+820730.9,324.53126,82.1253,1.093524793,NED,NULL,NULL,NULL,NULL,2.0,0.0
ZTF22aamgsvg,WISEA J231424.39+864640.2,348.60213,86.77786,1.875653689,NED,False,0.09374,NULL,PHOT,3.0,1.0
ZTF22aamgltk,WISEA J213757.61-060858.0,324.49005,-6.14944,2.24647959,NED,NULL,NULL,NULL,NULL,4.0,2.0
ZTF22aamglhr,WISEA J200626.38-174906.3,301.60986,-17.81837,0.568614729,NED,NULL,NULL,NULL,NULL,5.0,3.0
ZTF22aamgkdw,SDSS J210931.80-070145.5,317.3824869,-7.029308949,7.015989109,SDSSDR16,False,0.081917,0.011177,photoz,6.0,4.0
ZTF22aamgjeh,SDSS J222616.46+384945.4,336.5685796,38.82928642,4.864629879,SDSSDR16,False,0.046601,0.012827,photoz,7.0,5.0
ZTF22aamgjba,SDSS J200829.49+613816.4,302.122875,61.63791021,2.691757419,SDSSDR16,False,0.027708,0.008199,photoz,8.0,6.0
ZTF22aamgihf,WISEA J190703.92+300224.1,286.76635,30.04002,0.050506754,NED,NULL,NULL,NULL,NULL,9.0,7.0
ZTF22aamgdgf,SDSS J180121.66+460305.5,270.3402343,46.05154882,0.962710608,SDSSDR16,False,0.115239,0.025421,photoz,10.0,8.0
ZTF22aamfwtc,WISEA J182141.64+245322.7,275.42341,24.88931,1.478574278,NED,NULL,NULL,NULL,NULL,11.0,9.0
ZTF22aamevzq,WISEA J111029.32+055605.5,167.62225,5.93489,2.633245429,NED,True,0.067208,NULL,SPEC,12.0,10.0
ZTF22aameusu,SDSS J112002.75+104824.6,170.0114726,10.8068377,1.498386443,SDSSDR16,False,0.179129,0.024174,photoz,13.0,11.0
ZTF22aameoxg,WISEA J111009.88+221335.4,167.54122,22.22652,6.250151245,NED,True,0.032976,NULL,SPEC,14.0,12.0
ZTF22aameotz,WISEA J105610.60+172724.1,164.04418,17.45669,1.736351406,NED,True,0.084628,NULL,SPEC,15.0,13.0
ZTF22aamegom,SDSS J013815.96+301823.6,24.56648126,30.30656652,1.446894703,SDSSDR16,False,0.589715,0.201663,photoz,16.0,14.0
ZTF22aamecce,SDSS J003138.98+371722.7,7.91243131,37.28966101,0.079901157,SDSSDR16,False,0.168051,0.027513,photoz,17.0,15.0
ZTF22aamcwwm,WISEA J211222.98-060918.4,318.09555,-6.15509,1.105921645,NED,NULL,NULL,NULL,NULL,18.0,16.0
