oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index
ZTF22aauskml,WISEA J000830.49+374346.0,2.12708,37.72945,1.189464915660509,NED,NULL,NULL,NULL,NULL,
ZTF22aausgkx,WISEA J225242.80-253814.2,343.17842,-25.63756,1.786166152151871,NED,True,0.0768,NULL,,
ZTF22aaurcfi,SDSS J213505.88-080817.1,323.774510477223,-8.13810390578298,2.9179650272996924,SDSSDR16,False,0.137121,0.037356,photoz,
ZTF22aaupsnr,SDSS J144953.33+214025.6,222.472220395885,21.6737939647527,0.1475053750946177,SDSSDR16,False,0.035832,0.010537,photoz,
ZTF22aaupeys,SDSS J142709.15+125845.4,216.788143232457,12.9793000502647,0.5555011594203182,SDSSDR16,True,0.07583175,7.190696e-06,specz,
ZTF22aaunkiu,WISEA J135701.23+244739.4,209.25512,24.79462,0.5516700713945824,NED,NULL,NULL,NULL,NULL,
ZTF22aaunglk,SDSS J133205.13+285813.1,203.021376910146,28.9703291893639,0.2813830904605921,SDSSDR16,False,0.099712,0.022886,photoz,
ZTF22aaundhw,WISEA J142204.17+285200.0,215.51731,28.86663,0.12107368088210034,NED,True,0.0354,NULL,,
ZTF22aauncri,WISEA J150012.94+192105.6,225.05393,19.35153,0.5332512508648777,NED,NULL,NULL,NULL,NULL,
ZTF22aaumvmm,SDSS J142914.96+094059.4,217.312330330519,9.68319294904966,0.3155671401401775,SDSSDR16,False,0.041092,0.014876,photoz,0.0
ZTF22aaumstz,WISEA J155217.34-102714.8,238.07231,-10.45393,0.725524594886755,NED,NULL,NULL,NULL,NULL,1.0
ZTF22aaujpvv,SDSS J230455.27-182905.7,346.230288554066,-18.4849373428536,2.898934259156918,SDSSDR16,False,0.078863,0.016848,photoz,2.0
ZTF22aaugcgl,2MASX J14435912+1219095,220.99658,12.31917,7.366412586885376,NED,True,0.028822,NULL,SPEC,3.0
ZTF22aatxwlk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.0
ZTF18aajapma,WISEA J154656.90+352230.5,236.737,35.37517,0.2301422017559114,NED,True,0.068747,NULL,SPEC,5.0
