oid,level_0,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF22aaveaqo,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22aawokbh,1,SDSS J234333.93+092150.7,355.891372413621,9.36410313330007,0.7880432864195847,SDSSDR16,False,0.195006,0.079901,photoz,1.0,0.4158995875735642,0.8849019949770749
ZTF22aawodgn,2,SDSS J005853.97+295639.3,14.7248661556545,29.9442748281685,1.772876963047622,SDSSDR16,False,0.141244,0.040508,photoz,2.0,0.376819749548765,1.826685948226468
ZTF22aawmxwg,3,WISEA J223328.76-133720.2,338.36992,-13.62197,3.1250197414200094,NED,False,NULL,NULL,NULL,3.0,0.8850333431555385,2.662586718601887
ZTF22aawmgry,4,WISEA J201217.08-103834.6,303.07104,-10.64286,5.269871611124122,NED,True,0.07751,NULL,NULL,4.0,0.1331841503520205,5.389216760893563
ZTF22aawlxbq,5,WISEA J205924.52-194140.8,314.85262,-19.69475,3.109077716648015,NED,False,NULL,NULL,NULL,5.0,1.6598985255089658,1.4800747730456294
ZTF22aawkhmt,6,SDSS J173702.97+573441.5,264.262354441802,57.5781931215599,1.324873128371135,SDSSDR16,False,0.156436,0.041909,photoz,6.0,0.454990074527938,1.7418556625892188
ZTF22aawjqfd,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.0,NULL,NULL
ZTF22aawigwq,8,2MASX J15534170-0034223,238.42392625,-0.5730097222222222,7.980875971309213,Simbad,True,0.07781,2.999999924213625e-05,C,8.0,0.8321880086898066,7.173288976837454
ZTF22aawfjnt,9,SDSS J015526.45+120350.5,28.8602010085706,12.0640427789462,0.9535521947663186,SDSSDR16,False,0.355683,0.219648,photoz,9.0,0.4376037781848871,1.3151066650251744
ZTF22aawdsyk,10,SDSS J001127.08+231221.6,2.86282657679169,23.2060155023246,0.8998598834405115,SDSSDR16,False,0.572568,0.066087,photoz,10.0,0.3995578289657335,0.7156041586924243
ZTF22aawdrpp,11,WISEA J020327.59+553409.2,30.86511,55.5692,4.7719477058973485,NED,False,NULL,NULL,NULL,11.0,0.6304376358982798,4.267423677042936
ZTF22aawdqfp,12,SDSS J004923.71+195939.1,12.3488038347809,19.9942145963167,8.189831617258546,SDSSDR16,False,0.036514,0.01005,photoz,12.0,0.7721235182205455,7.51544313518274
ZTF22aawaczw,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.0,NULL,NULL
ZTF22aavzfwp,14,WISEA J180805.21+661055.2,272.02188,66.18203,3.3889557147809275,NED,False,0.091594,NULL,PHOT,14.0,0.1784444115027013,3.2232409535571
ZTF22aavxrsq,15,SDSS J151229.15+222321.1,228.121475878383,22.389201626806,0.9288129628710798,SDSSDR16,False,0.217471,0.044146,photoz,15.0,0.4180783634034404,1.3431998883907088
ZTF22aavvogz,16,SDSS J010720.42+092458.6,16.8350744784389,9.41629970959909,0.0857747521639076,SDSSDR16,False,0.307782,0.104455,photoz,16.0,0.1683599893196908,0.1250815328126698
ZTF22aavuuqt,17,SDSS J005624.45+163330.1,14.1018715153622,16.558387084898,3.730282775557978,SDSSDR16,False,0.163962,0.021754,photoz,17.0,0.5680999121532166,3.166789410480405
ZTF22aavuuhx,18,SDSS J004255.69+015346.6,10.7320468534275,1.89630336615916,2.3147087929165475,SDSSDR16,False,0.133498,0.04614,photoz,18.0,0.5112529325048066,1.97986024001096
ZTF22aavuona,19,SDSS J012707.20-103431.6,21.7799811140638,-10.5754499012662,2.742286893077809,SDSSDR16,True,0.1092819,4.442695e-06,specz,19.0,0.4357894049105018,2.3714210945319825
ZTF22aavunle,20,SDSS J010932.61-021325.8,17.3858862198961,-2.22383670857336,7.441426190380467,SDSSDR16,False,0.190271,0.029275,photoz,20.0,1.3308281146945395,6.191501649422458
ZTF22aavuelk,21,WISEA J230056.65-213859.8,345.23606,-21.64998,5.520338589187281,NED,False,NULL,NULL,NULL,21.0,0.7361313762122144,6.129677651056579
ZTF22aavuccp,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.0,NULL,NULL
ZTF22aavtozs,23,SDSS J225340.91+222907.6,343.420457841887,22.4854477042523,3.1809882060234376,SDSSDR16,False,0.130573,0.021737,photoz,23.0,0.3035878319925083,2.890431083488997
ZTF22aavtmzw,24,SDSS J231730.28+195832.6,349.376179758171,19.9757343725447,4.317234659387217,SDSSDR16,False,0.051258,0.010458,photoz,24.0,2.179685111202593,3.222565215173894
