oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,level_0,host_offset_bestguess,bestguess_offset,index
ZTF22abkzsdh,WISEA J054501.49+643703.5,86.25625,64.61761,1.163733469605236,NED,False,0.059155,NULL,PHOT,NULL,NULL,NULL,NULL
ZTF22abkskzg,WISEA J105343.02+440736.5,163.42915,44.12664,3.765181104481933,NED,True,0.091905,NULL,SPEC,NULL,NULL,NULL,NULL
ZTF22abkfhua,SDSS J232323.79+104107.7,350.849128242088,10.6854875518896,0.2353119150743755,SDSSDR16,False,0.068416,0.017923,photoz,NULL,NULL,NULL,NULL
ZTF22abjztke,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22abllclb,SDSS J034240.10-062254.5,55.6670868907429,-6.38182130292776,12.599580437681466,SDSSDR16,True,0.0211722,6.985051e-06,specz,0.0,0.7399318946048357,11.895672728613158,NULL
ZTF22ablbvag,LEDA 1844398,164.3742666666666,28.73570833333333,4.958238090288784,Simbad,True,0.0426,9.999999747378752e-06,C,1.0,0.1977428621756875,4.772942347614889,NULL
ZTF22ablbuig,SDSS J104719.43+194038.1,161.830975,19.67726111111111,2.6120480277222566,Simbad,True,0.04225,9.999999747378752e-06,C,2.0,0.5024531095952424,2.263572110027266,NULL
ZTF22ablbpdb,SDSS J110906.07+421643.4,167.27527739916,42.2787318826506,1.8061244073624632,SDSSDR16,False,0.156266,0.037771,photoz,3.0,0.4738190022831661,2.2589228588629764,NULL
ZTF22ablbolm,SDSS J110238.93+380317.3,165.662221898348,38.0548058388679,1.490516132320227,SDSSDR16,False,0.164395,0.025445,photoz,4.0,0.5052382602630526,1.6118860315119086,NULL
ZTF22ablbnsg,SDSS J092331.75-015539.4,140.882299812796,-1.9276156675355,1.5563578249381411,SDSSDR16,False,0.08799,0.035705,photoz,5.0,0.3266567736740592,1.761815664206454,NULL
ZTF22ablbajx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.0,NULL,NULL,NULL
ZTF22abkzogd,SDSS J073717.99+171327.2,114.324943929561,17.2242463129385,0.5179771799115297,SDSSDR16,False,0.137437,0.012755,photoz,8.0,0.3032418458016966,0.373075130065479,NULL
