oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,level_0,index,host_offset_bestguess,bestguess_offset
ZTF22acahfeg,SDSS J142230.28+590136.3,215.626162838909,59.0267486588509,0.39995111225379565,SDSSDR16,False,0.142379,0.066753,photoz,NULL,NULL,NULL,NULL
ZTF22abyuvus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22abykxza,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22acaipym,WISEA J151245.14-181055.5,228.18819,-18.18216,7.038888115705551,NED,False,NULL,NULL,NULL,3.0,0.0,0.6924581057495818,7.4621968032836925
ZTF22acailun,SDSS J155439.80+092813.2,238.665838258096,9.47035216784602,0.287991600016114,SDSSDR16,False,0.191527,0.118463,photoz,4.0,1.0,0.2123984763115175,0.1163337142326966
ZTF22acailrr,SDSS J154645.44+102127.3,236.6892758333333,10.357594722222222,4.136903932481984,Simbad,True,0.07209,9.999999747378752e-06,C,5.0,2.0,0.5875292879052023,3.550381573951904
ZTF22acailrl,SDSS J154015.35+111622.5,235.063949277721,11.2729285738981,2.957786736046116,SDSSDR16,True,0.1306683,1.855453e-05,specz,6.0,3.0,0.3143311687163386,3.2709171432853648
ZTF22acaiinp,WISEA J131341.61-195926.2,198.42369,-19.99072,6.36786730945092,NED,False,NULL,NULL,NULL,7.0,4.0,1.7478051413207951,4.682956161984208
ZTF22acaiiky,WISEA J130649.29-184922.0,196.70542,-18.82277,3.504976636328654,NED,False,NULL,NULL,NULL,8.0,5.0,0.6726241679605808,2.84757588443887
ZTF22acaiguw,2MASX J14135671+3727541,213.48635041666665,37.46523083333334,7.278037040405934,Simbad,True,0.07887,9.999999747378752e-06,C,9.0,6.0,0.3849804783667708,7.522922332633718
ZTF22acaicwl,WISEA J104505.62-252700.9,161.27338,-25.45001,2.0325650947961806,NED,False,NULL,NULL,NULL,10.0,7.0,0.5363813920861599,2.5634364593401324
ZTF22acaiapy,SDSS J145115.85+464218.5,222.816054187938,46.7051481527438,3.121185722528017,SDSSDR16,True,0.07234412,1.365741e-05,specz,11.0,8.0,0.4542706087812931,3.163455835032234
ZTF22acaiamg,SDSS J151236.17+452627.6,228.150707189731,45.4410188372902,1.537221343912837,SDSSDR16,False,0.181331,0.031638,photoz,12.0,9.0,0.4377924688674085,1.737606905667325
ZTF22acaiacp,SDSS J142822.98+324009.7,217.095744096725,32.6693723124714,2.653903227112054,SDSSDR16,False,0.10142,0.026237,photoz,13.0,10.0,0.2974140109233459,2.764266312897294
ZTF22acahxbi,SDSS J115555.42+132048.5,178.980928270737,13.3468307928556,1.782904321969316,SDSSDR16,False,0.165258,0.036914,photoz,14.0,11.0,0.5208310945119113,1.513181861585113
ZTF22acahury,MRK 0288,222.69588,73.82236,2.3490901873363845,NED,True,0.023293,NULL,NULL,15.0,12.0,0.3721089468179436,2.403095637468755
ZTF22acahomp,SDSS J093744.22+251427.0,144.434236958505,25.2408349877385,1.249208707429092,SDSSDR16,False,0.139776,0.09098,photoz,16.0,13.0,1.0806910274257222,0.2164831777565244
ZTF22acahbko,Z  37-17,155.70093791666665,3.759106111111111,18.044599331172368,Simbad,True,0.03294,9.999999747378752e-06,C,17.0,15.0,0.2541726577439933,18.286710713885487
ZTF22acagulp,SDSS J131801.39+652620.3,199.505802972957,65.438989004617,4.378258180657101,SDSSDR16,True,0.131141,1.417481e-05,specz,18.0,16.0,0.7142970413478313,3.663968229338644
ZTF22acaeybk,SDSS J093956.37+045814.2,144.984884873351,4.97062515640518,3.948822247489271,SDSSDR16,True,0.1167774,3.397613e-05,specz,19.0,17.0,0.2917398554251459,3.953769359865983
ZTF22acaemvu,SDSS J095829.94+380201.0,149.62477083333332,38.033625,5.536069103294551,Simbad,True,0.11049,9.999999747378752e-06,C,20.0,18.0,0.7754606916804906,4.819659090044604
ZTF22acaeetq,SDSS J074740.32+655557.8,116.918009788731,65.9327315863355,4.572313242199103,SDSSDR16,False,0.131402,0.013157,photoz,21.0,19.0,0.699985611172954,5.228965329774733
ZTF22acadlqs,WISEA J105025.53+690841.6,162.60691,69.14473,1.3342964075004589,NED,False,NULL,NULL,NULL,22.0,20.0,1.2361980026448154,0.4045984188458539
ZTF22acablwr,LEDA  857074,56.45958333333333,-19.30638888888889,2.7109931813083112,Simbad,False,--,NULL,NULL,23.0,21.0,0.6262710300194868,2.490554371589089
ZTF22acabkkw,SDSS J001020.19+034211.6,2.58410945860402,3.70322574212225,3.7861658347925866,SDSSDR16,False,0.097947,0.024672,photoz,24.0,22.0,0.611614942127656,3.736058017684585
ZTF22acaaxhk,SDSS J230517.03+203932.0,346.32097100382,20.6588977898414,5.188584742306448,SDSSDR16,False,0.066969,0.019429,photoz,25.0,23.0,0.0810173659388227,5.225297007192646
ZTF22acaaqwx,WISEA J233219.93-252710.3,353.08279,-25.45297,2.055751311460075,NED,True,0.113595,NULL,NULL,26.0,24.0,0.9627869616252612,1.154153876682921
