oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF23aajvntv,SDSS J162118.69+592813.8,245.3279,59.47052,3.7915745101309404,NED,False,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aajvneh,SDSS J141520.07+222359.5,213.83364541391,22.3998612832758,1.2860269831710984,SDSSDR16,False,0.227803,0.073663,photoz,1.0,0.2718415350695312,1.1360872148311996
ZTF23aajvnae,SDSS J133026.12+274212.1,202.608843162278,27.7033775924115,2.4654303402030133,SDSSDR16,True,0.1339461,2.362278e-05,specz,2.0,0.2401601640286408,2.3039404708441817
ZTF23aajvgsz,SDSS J123030.41+453715.2,187.626726855809,45.6208953673684,1.5859249716062949,SDSSDR16,True,0.1128313,3.41947e-05,specz,3.0,0.4084368576922142,1.2340399508565172
ZTF23aajvgqk,SDSS J121543.49+503544.2,183.931205655144,50.5956153911784,0.944129967211921,SDSSDR16,True,0.0498918,5.319075e-06,specz,4.0,0.5361506399441502,1.315495851840326
ZTF23aajuuwh,SDSS J120337.08+482801.0,180.90449081054,48.4669678727876,2.265521301052126,SDSSDR16,True,0.09838153,1.411732e-05,specz,5.0,0.3483377359111827,2.2453546661883554
ZTF23aajusxs,SDSS J114456.21+035210.0,176.234212125302,3.86946961937759,9.356708898870076,SDSSDR16,True,0.1023582,1.950882e-05,specz,6.0,0.8697970025013204,9.686127882243978
ZTF23aajurty,SDSS J115007.71-003031.9,177.532135434092,-0.508885039478803,0.1907903316526892,SDSSDR16,False,0.145408,0.020469,photoz,7.0,0.2363597533066582,0.1867850076566243
ZTF23aajnrfe,SDSS J160501.96+554022.4,241.258161107405,55.6729115502888,1.0147568976095551,SDSSDR16,False,0.218867,0.055628,photoz,8.0,0.0212274117937978,1.0204094538471655
ZTF23aajndkv,SDSS J130622.97+373127.5,196.595700053089,37.5243149466149,0.4005339634588009,SDSSDR16,False,0.164064,0.02104,photoz,9.0,0.3977281663725203,0.0324615479093621
ZTF23aajlxlg,SDSS J144400.10+281152.9,221.000418726687,28.1980508658118,1.4266794266486569,SDSSDR16,False,0.271534,0.114262,photoz,10.0,0.4539635564555473,1.2765678734968366
ZTF23aajduii,WISEA J142814.49+671035.6,217.0616,67.17686,1.9264407830532015,NED,False,NULL,NULL,NULL,11.0,2.2695778557691613,0.3477698929638697
ZTF23aajduhx,WISEA J155625.09+824346.2,239.10565,82.7297,1.0876856742299603,NED,False,NULL,NULL,NULL,12.0,0.8663420079912099,0.3768839175700966
ZTF23aajbnht,WISEA J153652.86-052706.8,234.21994,-5.45189,2.861489353226057,NED,False,NULL,NULL,NULL,13.0,0.9907007325197764,2.5927144977519108
ZTF23aaizrxw,SDSS J142215.50+230601.9,215.564579818144,23.1005453998095,0.6454073700014494,SDSSDR16,False,0.449906,0.231799,photoz,14.0,0.6435400121657399,0.2174934436918597
ZTF22aavotix,SDSS J142912.36+360019.7,217.301486603869,36.0054927366357,0.3381036720457814,SDSSDR16,False,0.088385,0.022599,photoz,15.0,0.3441724224341053,0.630861773331112
