oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF23aasygqe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aasuxnt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aascbvv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aasysje,SDSS J012218.60-001356.0,20.5775063576367,-0.232227925155795,1.2361894575429644,SDSSDR16,False,0.093283,0.033531,photoz,0.0,0.2764504339838548,0.9774704944758804
ZTF23aasyshb,SDSS J011516.14-034438.9,18.8172545846921,-3.74414837730419,5.558103130500122,SDSSDR16,False,0.078069,0.008893,photoz,1.0,0.3091017375703827,5.257813443539207
ZTF23aasyrup,6dFGS gJ012926.6-011159,22.36066333333333,-1.199773611111111,3.903597666849012,Simbad,True,0.01637,9.999999747378752e-06,C,2.0,0.6888519531433273,4.368526714211407
ZTF23aasyomd,SDSS J010358.87-105948.2,15.9953032875236,-10.9967365113273,0.0991054525396953,SDSSDR16,False,0.250586,0.178793,photoz,3.0,0.2834280053420642,0.1843411497658892
ZTF23aasymie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.0,NULL,NULL
ZTF23aasyins,SDSS J001554.56+321939.8,3.97734748087157,32.3277420499086,2.0690579423376927,SDSSDR16,False,0.11046,0.014792,photoz,5.0,0.3586741761108298,2.0376961300084524
ZTF23aasxxin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.0,NULL,NULL
ZTF23aasxhkl,SDSS J013315.42+471335.2,23.3142380785969,47.2264561775005,0.2067085419676735,SDSSDR16,False,0.14675,0.051686,photoz,8.0,0.234876368304708,0.0673460753096182
ZTF23aaswvta,SDSS J231305.34-013341.0,348.272256842035,-1.56141276966511,2.7027835828873745,SDSSDR16,False,0.113424,0.031144,photoz,9.0,0.5324181753277663,2.574819657970247
ZTF23aaswvfe,SDSS J225442.62-102051.0,343.677589244042,-10.3475235891949,1.790671076547105,SDSSDR16,False,0.579196,0.058902,photoz,10.0,0.3904279135374272,2.031229708325291
ZTF23aaswvcy,SDSS J224950.05-080857.9,342.458535540212,-8.14942414645146,1.7730042169918787,SDSSDR16,True,0.07622524,1.240747e-05,specz,11.0,0.6943088645995474,1.7103166647657193
ZTF23aaswtxr,SDSS J220510.25+224509.7,331.292691205788,22.7527183926045,2.2636245277108284,SDSSDR16,False,0.15618,0.06236,photoz,12.0,2.243240477881648,4.484832721632851
ZTF23aaswtmu,SDSS J224851.04+031404.4,342.212645966013,3.23456821487884,2.055282679621524,SDSSDR16,False,0.150838,0.03592,photoz,13.0,0.5413142197406178,1.725389252118509
ZTF23aaswtea,SDSS J234840.67+191635.8,357.169472536401,19.2766131675665,0.308108849544544,SDSSDR16,False,0.227594,0.225424,photoz,14.0,0.2711657969721915,0.0834482082205435
ZTF23aaswruy,SDSS J233001.44+203801.4,352.506014786524,20.6337484489116,5.076406139051684,SDSSDR16,False,0.095444,0.020249,photoz,15.0,0.5465323898891041,4.566191224317825
ZTF23aaswrew,SDSS J215945.26-014805.3,329.938572102795,-1.80149765458162,1.744144861260167,SDSSDR16,False,0.097205,0.039559,photoz,16.0,0.6613309542442654,1.5609009496625936
ZTF23aaswpcx,2MASX J22111949-2752518,332.8312375,-27.88106388888889,4.282978031256956,Simbad,True,0.03033,NULL,D,17.0,0.6984466198974617,3.670408552065013
ZTF23aaswnvh,WISEA J221002.46-230233.2,332.51039,-23.04265,3.1140919326407297,NED,False,NULL,NULL,NULL,18.0,1.0640180563356318,2.6167325034806543
ZTF23aaswluy,WISEA J221349.92-230109.0,333.45808,-23.01933,3.352353921535672,NED,False,NULL,NULL,NULL,19.0,1.045178753351362,3.094710951487762
ZTF23aaswbih,SDSS J213519.40+162614.8,323.830820587462,16.4374456929533,1.458403308827992,SDSSDR16,False,0.11461,0.029195,photoz,20.0,0.5913014287685183,1.9493601811762769
ZTF23aasvfbf,SDSS J205628.74+031445.8,314.119732240515,3.2460726661302,1.9590587142797364,SDSSDR16,False,0.397882,0.077624,photoz,21.0,0.7476915543430417,1.3155452118618784
ZTF23aasuikm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.0,NULL,NULL
ZTF23aasrdhg,SDSS J212939.58+110713.0,322.41491666666667,11.120291666666668,5.423961465632971,Simbad,True,0.0875,1.9999999494757503e-05,C,24.0,0.2547294738115953,5.573235325625348
ZTF23aascppn,WISEA J221115.59-230213.0,332.815,-23.03694,2.3400885481610225,NED,False,0.059191,NULL,SLS,25.0,0.7435458373100381,1.7329411570143
ZTF23aascfrd,SDSS J233612.50-072613.7,354.052073766847,-7.43715556510106,0.3431207804825741,SDSSDR16,False,0.14513,0.028798,photoz,26.0,0.1221406239006254,0.3109675763836958
ZTF23aarrnwc,SDSS J232806.55+501445.7,352.027283390313,50.2460462182444,6.338202928065106,SDSSDR16,False,0.024403,0.009111,photoz,28.0,0.2488494765073451,6.328818333327264
