oid,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF23abawwyy,SDSS J085016.92+425157.2,132.570501834711,42.8658961903205,0.7572164034015458,0.4267116331756589,0.4653218325735911,SDSSDR16,False,0.110982,0.030117,photoz
ZTF23abawves,SDSS J084139.03+352403.1,130.412620395871,35.400872444805,0.26682752919227126,0.04237847962950588,0.23803844121281814,SDSSDR16,False,NULL,NULL,photoz
ZTF23abawqvx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23abawqaa,WISEA J073210.16+794203.4,113.04162,79.70142,3.8377617984813264,1.8675970330502338,5.457525494326869,NED,False,NULL,NULL,NULL
ZTF23abawhql,UGC 03416,93.41654,69.72925,6.5495226419397445,0.26071078866228803,6.602671198877099,NED,False,0.013353,NULL,SUN
ZTF23abawebq,SDSS J063406.91+635101.2,98.5287963500083,63.8503486918646,3.128133125470522,0.8084422253862839,3.889645716386785,SDSSDR16,False,0.078265,0.020676,photoz
ZTF23abavosd,SDSS J010049.51+165326.5,15.206309053427,16.8907152573419,9.312793798731676,0.3297679170912156,9.609525773205347,SDSSDR16,False,0.038421,0.011763,photoz
ZTF23abaupyh,SDSS J202315.34+063636.1,305.813932085917,6.61003253002026,3.9043268410950067,1.2230042775939498,5.051857961953657,SDSSDR16,False,0.105573,0.032356,photoz
ZTF23abaukgu,WISEA J191300.91-082045.7,288.25383,-8.34605,1.6731134764051097,0.7653870317615632,1.2032532083053478,NED,False,NULL,NULL,NULL
ZTF23abauinr,WISEA J174958.16+293414.3,267.49185,29.57043,2.3297411538415203,1.4981340662751812,1.9596756218791074,NED,False,NULL,NULL,NULL
ZTF23abauidy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23abaeeae,ESO 552-38,74.67169249999999,-19.591846666666665,6.634927084867087,0.40248662296117116,6.645854480398894,Simbad,False,0.022799,NULL,D
