oid,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF24aaikngy,SDSS J172838.41+361015.1,262.160061584553,36.1708866936046,0.17266265767939742,0.367907190569048,0.3709157546225953,SDSSDR16,False,0.499918,0.187508,photoz
ZTF24aaikhir,SDSS J162100.25+343715.5,245.251041877563,34.6209797152124,7.098307917366979,0.3191109567593856,7.087920544083683,SDSSDR16,True,0.07334565,7.875039e-06,specz
ZTF24aaikhbh,SDSS J161510.89+310437.3,243.795368630005,31.0770289613783,4.37978349879263,0.4043933362389757,4.1728366094084715,SDSSDR16,False,0.174434,0.013124,photoz
ZTF24aaijpbw,SDSS J161744.56+110710.5,244.435650408544,11.1195978605265,0.8090111198325833,0.2149868262058456,0.9562084683172685,SDSSDR16,False,0.169153,0.0612,photoz
ZTF24aaijiwd,SDSS J152832.43+293439.7,232.135121071089,29.5777052688067,10.076795761446768,0.5764102175535105,9.878564005772615,SDSSDR16,True,0.08580351,2.17797e-05,specz
ZTF24aaijiob,SDSS J152126.60+275145.2,230.360824391458,27.8625600631886,1.4246375632420583,0.4678210075222927,0.959782482425692,SDSSDR16,False,0.097333,0.02608,photoz
ZTF24aaijfol,SDSS J150139.28+003833.4,225.413653106286,0.64262640609941,0.09464991302061485,0.1118430343366364,0.14335532142990876,SDSSDR16,False,0.127603,0.027474,photoz
ZTF24aaijcwe,SDSS J143613.54-001626.8,219.05640501576,-0.274111680827838,2.2670018408110026,0.08995710173321786,2.1794494352408873,SDSSDR16,True,0.1056463,6.603651e-06,specz
ZTF24aaiixaa,SDSS J131128.99-225545.1,197.870810582762,-22.9292076619551,2.2701082292352113,0.10754809794137414,2.3464230286465098,SDSSDR16,False,0.157241,0.058456,photoz
ZTF24aaiigrt,WISEA J114504.07-263733.2,176.267,-26.62591,2.6255495712598003,1.2502564857969702,1.5172869877518969,NED,False,NULL,NULL,NULL
ZTF24aaigrls,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaigrkd,SDSS J100509.14+811957.8,151.288087460572,81.3327366365419,1.2001807704428546,0.4961253079452981,1.2262902032031384,SDSSDR16,False,0.409073,0.140779,photoz
ZTF24aaigrgd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaigqmu,WISEA J080759.88+815052.1,121.99968,81.84786,0.36533735063634437,0.025427708299366823,0.34172341838832215,NED,False,NULL,NULL,NULL
ZTF24aaiftcp,SDSS J160621.60+174512.2,241.589994220235,17.7534061111619,0.32423049815305216,0.3429439843901477,0.5823325260901898,SDSSDR16,False,0.075155,0.020001,photoz
ZTF24aaifrsq,WISEA J182642.19+243550.5,276.67569,24.59753,4.555036909721048,0.05481988074251195,4.5005191998944305,NED,False,NULL,NULL,NULL
ZTF24aaifrbb,2MASX J15192525+2937168,229.8550658333333,29.62124111111111,3.4797434615761715,0.22776848207719916,3.6443186612981475,Simbad,True,0.073294,0.00017699999443721026,D
ZTF24aaifnqi,SDSS J145222.05+194750.1,223.091863909853,19.7972592553375,0.33987206005789383,0.25745685471145724,0.5930780183521853,SDSSDR16,False,0.593419,0.217407,photoz
ZTF24aaifnnw,SDSS J142608.39+232925.0,216.53499,23.4903,0.796895676369768,0.8498319983973883,1.2446971291942945,NED,False,NULL,NULL,NULL
ZTF24aaieprk,SDSS J132112.43+173918.9,200.301810560727,17.6552489681072,0.24533871873204216,0.1633750909834192,0.4086864316042077,SDSSDR16,False,0.114452,0.029201,photoz
ZTF24aaieipb,WISEA J132807.82-175142.6,202.03283,-17.86198,0.9343392421485814,0.5806118041847419,1.4106238093132992,NED,False,NULL,NULL,NULL
ZTF24aaieemd,SDSS J112201.46+162833.9,170.506084843691,16.4760833593626,0.33259547226975716,0.2727777792791262,0.4168853770179416,SDSSDR16,False,0.231407,0.038879,photoz
ZTF24aaiduss,SDSS J113140.18+660258.0,172.917425455971,66.049448654044,0.25388926090408864,0.08944802687960944,0.22662160376016627,SDSSDR16,False,0.380033,0.115972,photoz
ZTF24aaidulf,WISEA J112350.96+714556.2,170.96234,71.76562,0.955293166448438,0.9749825969444021,1.0470367903663205,NED,False,NULL,NULL,NULL
ZTF24aaidkot,SDSS J121809.39+282534.1,184.539141041266,28.4261639649608,1.841640074892038,0.3542788192061833,1.6433029016738918,SDSSDR16,False,0.139544,0.029821,photoz
ZTF24aaibozv,WISEA J073202.06-052521.5,113.00854,-5.42255,1.6107444778904163,0.15335416399085508,1.763345130953791,NED,False,NULL,NULL,NULL
ZTF24aahxymx,SDSS J121955.98+234822.5,184.983266331071,23.8062625268908,0.9660026048709123,0.057402395410759324,0.9540830567972882,SDSSDR16,False,0.126715,0.068395,photoz
ZTF24aaefwoh,SDSS J230227.96+271224.2,345.616506318101,27.2067340396473,3.947998661307707,0.5244983580893313,3.7287679311730444,SDSSDR16,False,0.095387,0.032606,photoz
ZTF22abzkfmo,SDSS J102719.32+243539.1,156.830518055274,24.5941999371514,1.9901464890141025,0.442677852540511,2.061746383842772,SDSSDR16,False,0.160973,0.012774,photoz
