oid,index,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF24aanmxip,0,WISEA J191106.79+471026.5,287.7784,47.17416,1.0101414227720027,1.0889353057712006,1.7449063053813194,NED,False,NULL,NULL,NULL
ZTF24aanmtls,1,WISEA J174347.21+285106.6,265.94668,28.85214,1.828497089422376,0.4653646639944611,1.4243062756363545,NED,False,NULL,NULL,NULL
ZTF24aanmrts,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aanmatk,3,WISEA J195009.03+475120.6,297.53804,47.85536,4.51318047511742,2.515925108001655,5.55834405752857,NED,False,NULL,NULL,NULL
ZTF24aanmanz,4,SDSS J165248.20+451822.7,253.200827049676,45.306330363596,0.3544625306595493,0.1728712858410882,0.4603347947574079,SDSSDR16,False,0.144438,0.064005,photoz
ZTF24aanlepr,5,SDSS J151000.26+445831.5,227.501079303287,44.9754225049001,3.1589268755584263,0.6452472159220577,3.787864665126828,SDSSDR16,False,0.063113,0.022658,photoz
ZTF24aankvdj,6,SDSS J141629.92+445800.7,214.124677038279,44.9668666899004,0.2076580303938053,0.2121275691867986,0.2766311464249097,SDSSDR16,False,0.602716,0.080082,photoz
ZTF24aankryh,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aanjxyn,8,WISEA J110412.95-244443.6,166.05407,-24.74558,3.513021629040232,0.2023212630936424,3.319712805142301,NED,False,NULL,NULL,NULL
ZTF24aanjvkm,9,WISEA J130720.52+721231.4,196.83528,72.2085,1.7216405756937605,1.2403064153858316,2.410449676964419,NED,False,NULL,NULL,NULL
ZTF24aaneoyr,10,2MASX J11260566+6409462,171.52352374999998,64.16280250000001,2.508406618573382,0.6602694410977984,3.1646515656457503,Simbad,True,0.09871,9.999999747378752e-06,C
ZTF24aamvsws,11,LEDA 1048787,187.61022166666663,-5.139418611111111,6.057415277117198,0.4501614021186542,6.198031793103406,Simbad,True,0.06969,NULL,D
ZTF24aamrheq,12,2MASS J09595876-1123201,149.99485,-11.38892,6.054229601240141,1.0211635510454886,7.070096258441627,NED,False,NULL,NULL,NULL
