oid,level_0,index,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF24aanxfzz,0,0,WISEA J205036.17-172648.2,312.65089,-17.44684,2.918028636492478,0.60427511993292,2.755626765248408,NED,False,NULL,NULL,NULL
ZTF24aanxflr,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aanxezz,2,2,WISEA J210819.64-081036.7,317.08187,-8.17688,0.9888095294250406,0.2172767272588445,1.1774700290797209,NED,False,NULL,NULL,NULL
ZTF24aanxetq,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aanxdyg,4,4,SDSS J170331.79+440137.9,255.882443141537,44.0271962165989,1.66044868770359,0.5818980141397573,2.196408244959419,SDSSDR16,False,0.218618,0.050806,photoz
ZTF24aanvxlw,5,5,WISEA J183443.35+545028.3,278.68066,54.84122,2.997261725855324,0.6594907199864636,3.654530831999292,NED,False,NULL,NULL,NULL
ZTF24aanvuqk,6,6,SDSS J161227.77+392351.1,243.115693180979,39.3975473694931,1.1275847202873757,0.2104958897981527,1.2234547448576378,SDSSDR16,False,0.386787,0.070719,photoz
ZTF24aanvupu,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aanvbbp,8,8,SDSS J113928.47+484843.7,174.868634307391,48.8121411531968,2.4968165559869835,0.1021442667898829,2.574801903457153,SDSSDR16,False,0.138787,0.02803,photoz
ZTF24aancwwv,9,9,SDSS J202635.54-141815.1,306.648099187246,-14.3042010753597,1.6315332774496736,0.650764012553373,2.166254177802844,SDSSDR16,False,0.132563,0.020184,photoz
ZTF24aamvpyo,10,10,SDSS J112226.79+193549.3,170.611618721531,19.5970449141644,2.3110840619053405,0.5670535879198487,2.862326381399486,SDSSDR16,True,0.06839997,1.548397e-05,specz
